,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"104年","A.農、林、漁、牧業","607,694","308,839","298,855","326,712","91.47",
"104年","B.礦業及土石採取業","22,412","9,155","13,257","11,456","115.72",
"104年","C.製造業","19,344,571","13,995,639","5,348,932","5,268,159","101.53",
"104年","CA.食品及飼品製造業","702,371","578,171","124,200","141,827","87.57",
"104年","CB.飲料及菸草製造業","131,136","46,515","84,621","96,319","87.85",
"104年","CC.紡織業","413,269","305,580","107,689","100,835","106.80",
"104年","CD.成衣及服飾品製造業","155,420","117,013","38,407","37,997","101.08",
"104年","CE.皮革、毛皮及其製品製造業","58,841","40,214","18,627","24,463","76.14",
"104年","CF.木竹製品製造業","48,161","36,722","11,439","12,657","90.38",
"104年","CG.紙漿、紙及紙製品製造業","225,842","174,509","51,333","71,637","71.66",
"104年","CH.印刷及資料儲存媒體複製業","122,686","79,724","42,962","49,430","86.91",
"104年","CI.石油及煤製品製造業","922,347","769,529","152,818","168,312","90.79",
"104年","CJ.化學材料及肥料製造業","2,027,131","1,695,829","331,302","389,538","85.05",
"104年","CK.其他化學製品製造業","310,337","223,414","86,923","70,657","123.02",
"104年","CL.藥品及醫用化學製品製造業","102,655","61,342","41,313","45,158","91.49",
"104年","CM.橡膠製品製造業","117,291","68,713","48,578","48,373","100.42",
"104年","CN.塑膠製品製造業","470,971","341,060","129,911","141,784","91.63",
"104年","CO.非金屬礦物製品製造業","416,050","296,989","119,061","134,748","88.36",
"104年","CP.基本金屬製造業","1,573,485","1,323,034","250,451","371,134","67.48",
"104年","CQ.金屬製品製造業","1,004,380","685,959","318,421","323,052","98.57",
"104年","CR.電子零組件製造業","4,620,745","2,664,819","1,955,926","1,856,873","105.33",
"104年","CS.電腦、電子產品及光學製品製造業","2,889,574","2,258,084","631,490","483,235","130.68",
