,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"103年","A.農、林、漁、牧業",625086,322305,302781,-13888,19431,63033,234205
"103年","B.礦業及土石採取業",25935,11607,14328,511,3362,4474,5981
"103年","C.製造業",20893174,15836536,5056638,226079,1181612,1944999,1703948
"103年","　CA.食品及飼品製造業",712037,597087,114950,3730,11284,64449,35487
"103年","　CB.飲料及菸草製造業",130539,47561,82978,52289,4131,16142,10416
"103年","　CC.紡織業",410699,315427,95272,802,10376,58918,25176
"103年","　CD.成衣及服飾品製造業",150671,114422,36249,290,1472,23735,10752
"103年","　CE.皮革、毛皮及其製品製造業",60471,42984,17487,136,2046,10056,5249
"103年","　CF.木竹製品製造業",47062,36285,10777,125,1250,8310,1092
"103年","　CG.紙漿、紙及紙製品製造業",228897,179302,49595,427,5309,29755,14104
"103年","　CH.印刷及資料儲存媒體複製業",119462,78022,41440,241,4615,27484,9100
"103年","　CI.石油及煤製品製造業",1383826,1269001,114825,94513,28997,24738,-33423
"103年","　CJ.化學材料及肥料製造業",2475512,2227540,247972,2229,55151,83733,106859
"103年","　CK.其他化學製品製造業",315439,235715,79724,759,8473,40393,30099
"103年","　CL.藥品及醫用化學製品製造業",104275,65160,39115,262,7098,18569,13186
"103年","　CM.橡膠製品製造業",118559,71356,47203,1456,4018,25758,15971
"103年","　CN.塑膠製品製造業",475650,357897,117753,1412,12538,67417,36386
"103年","　CO.非金屬礦物製品製造業",434470,314682,119788,6346,21705,61829,29908
"103年","　CP.基本金屬製造業",1964500,1663114,301386,3069,38228,90757,169332
"103年","　CQ.金屬製品製造業",986280,694411,291869,3972,33990,185734,68173
"103年","　CR.電子零組件製造業",4867723,2968681,1899042,5056,714840,486601,692545
"103年","　CS.電腦、電子產品及光學製品製造業",2840654,2251372,589282,4164,123363,211552,250203
"103年","　CT.電力設備及配備製造業",655571,503494,152077,4543,23515,83913,40106
"103年","　CU.機械設備製造業",1030557,774551,256006,2993,22094,135558,95361
"103年","　CV.汽車及其零件製造業",538891,402738,136153,30881,21608,58116,25548
"103年","　CW.其他運輸工具及其零件製造業",383940,296622,87318,5222,12768,48448,20880
"103年","　CX.家具製造業",80918,63189,17729,169,1748,13175,2637
"103年","　CY.其他製造業",376571,265923,110648,993,10995,69859,28801
"103年","D.電力及燃氣供應業",822347,583562,238785,4025,121890,43767,69103
"103年","E.用水供應及污染整治業",206574,112600,93974,451,15540,27038,50945
"103年","F.營建工程業",1518340,1107885,410455,5684,21290,297575,85906
"103年","G.批發及零售業",3683000,1076950,2606050,55073,141338,1074847,1334792
"103年","H.運輸及倉儲業",1219131,750968,468163,6432,103149,217972,140610
"103年","I.住宿及餐飲業",819792,432195,387597,5241,28887,235199,118270
"103年","J.出版影音及資通訊業",945078,447163,497915,10594,103620,216510,167191
"103年","K.金融及保險業",1543110,489026,1054084,42014,93693,530629,387748
"103年","L.不動產及住宅服務業",1710054,382044,1328010,49824,180165,69495,1028526
"103年","M.專業、科學及技術服務業",621451,263918,357533,4070,51965,210515,90983
"103年","N.支援服務業",362441,113655,248786,3293,32732,184688,28073
"103年","O.公共行政及國防；強制性社會安全",1441042,394546,1046496,5382,344629,696485,0
"103年","P.教育業",899921,163606,736315,-12828,59040,645907,44196
"103年","Q.醫療保健及社會工作服務業",732589,274147,458442,-11407,45232,333278,91339
"103年","R.藝術、娛樂及休閒服務業",216436,80676,135760,5057,12345,91590,26768
"103年","S.其他服務業",651263,230941,420322,10865,10449,310292,88716
"103年","合計",38936764,23074330,15862434,396472,2570369,7198293,5697300
"103年","進口稅",181309,0,181309,181309,0,0,0
"103年","加值型營業稅",299714,0,299714,299714,0,0,0
"103年","總計(生產面)",39417787,23074330,16343457,877495,2570369,7198293,5697300
"103年","補充項目:ICT產業",8393914,5506648,2887266,18532,935431,861918,1071385
"104年","A.農、林、漁、牧業",607694,308839,298855,-16176,20018,64035,230978
"104年","B.礦業及土石採取業",22412,9155,13257,191,3254,4156,5656
"104年","C.製造業",19344571,13995639,5348932,230266,1201011,2081773,1835882
"104年","　CA.食品及飼品製造業",702371,578171,124200,3949,11332,67852,41067
"104年","　CB.飲料及菸草製造業",131136,46515,84621,52600,4073,17223,10725
"104年","　CC.紡織業",413269,305580,107689,823,9811,62466,34589
"104年","　CD.成衣及服飾品製造業",155420,117013,38407,273,1429,25150,11555
"104年","　CE.皮革、毛皮及其製品製造業",58841,40214,18627,142,2078,10487,5920
"104年","　CF.木竹製品製造業",48161,36722,11439,138,1231,8799,1271
"104年","　CG.紙漿、紙及紙製品製造業",225842,174509,51333,460,5229,30050,15594
"104年","　CH.印刷及資料儲存媒體複製業",122686,79724,42962,241,4628,31116,6977
"104年","　CI.石油及煤製品製造業",922347,769529,152818,97694,27925,25858,1341
"104年","　CJ.化學材料及肥料製造業",2027131,1695829,331302,2234,55876,86304,186888
"104年","　CK.其他化學製品製造業",310337,223414,86923,781,8689,41858,35595
"104年","　CL.藥品及醫用化學製品製造業",102655,61342,41313,246,7418,19967,13682
"104年","　CM.橡膠製品製造業",117291,68713,48578,1710,4034,26469,16365
"104年","　CN.塑膠製品製造業",470971,341060,129911,1408,12189,72331,43983
"104年","　CO.非金屬礦物製品製造業",416050,296989,119061,5997,21351,62271,29442
"104年","　CP.基本金屬製造業",1573485,1323034,250451,3226,36631,93470,117124
"104年","　CQ.金屬製品製造業",1004380,685959,318421,4160,33070,203897,77294
"104年","　CR.電子零組件製造業",4620745,2664819,1955926,5341,732296,541141,677148
"104年","　CS.電腦、電子產品及光學製品製造業",2889574,2258084,631490,3873,128344,223135,276138
"104年","　CT.電力設備及配備製造業",644173,485467,158706,4953,23674,85663,44416
"104年","　CU.機械設備製造業",1017022,753544,263478,3405,22572,143411,94090
"104年","　CV.汽車及其零件製造業",519708,371478,148230,29836,21646,61286,35462
"104年","　CW.其他運輸工具及其零件製造業",393982,297898,96084,5621,12721,52161,25581
"104年","　CX.家具製造業",84651,64517,20134,153,1679,13495,4807
"104年","　CY.其他製造業",372343,255515,116828,1002,11085,75913,28828
"104年","D.電力及燃氣供應業",756974,453513,303461,3597,118383,52781,128700
"104年","E.用水供應及污染整治業",199935,108253,91682,467,15838,28945,46432
"104年","F.營建工程業",1497225,1076899,420326,5659,21039,306462,87166
"104年","G.批發及零售業",3718005,1053260,2664745,56411,142867,1107064,1358403
"104年","H.運輸及倉儲業",1229791,713198,516593,6680,106608,232786,170519
"104年","I.住宿及餐飲業",886095,469523,416572,5392,30793,253367,127020
"104年","J.出版影音及資通訊業",986487,460360,526127,11155,106275,228259,180438
