01/01,2533.5,279.0,11.01
01/02,2822.3,308.0,10.91
01/03,2829.2,338.3,11.96
01/04,2558.3,363.6,14.21
01/05,2476.1,269.5,10.88
01/06,2864.4,301.0,10.51
01/07,2914.4,310.4,10.65
01/08,2854.4,323.5,11.33
01/09,2873.0,313.1,10.90
01/10,2847.6,329.8,11.58
01/11,2534.2,385.1,15.20
01/12,2484.2,309.1,12.44
01/13,2864.7,315.7,11.02
01/14,2880.1,341.2,11.85
01/15,2843.1,338.6,11.91
01/16,2871.4,300.5,10.47
01/17,2818.6,339.9,12.06
01/18,2606.8,315.9,12.12
01/19,2532.2,333.5,13.17
01/20,2797.0,318.3,11.38
01/21,2751.7,325.9,11.84
01/22,2574.8,388.6,15.09
01/23,2353.1,334.4,14.21
01/24,2154.3,348.3,16.17
01/25,2102.2,355.1,16.89
01/26,2117.4,352.8,16.66
01/27,2171.0,370.4,17.06
01/28,2281.7,365.3,16.01
01/29,2398.4,330.3,13.77
01/30,2632.3,299.1,11.36
01/31,2671.4,336.1,12.58
02/01,2521.1,389.0,15.43
02/02,2481.6,324.7,13.08
02/03,2796.0,408.8,14.62
02/04,2844.3,330.2,11.61
02/05,2839.7,364.3,12.83
02/06,2848.2,334.7,11.75
02/07,2827.5,376.7,13.32
02/08,2563.0,366.0,14.28
02/09,2515.0,308.4,12.26
02/10,2828.3,314.6,11.12
02/11,2866.3,321.9,11.23
02/12,2853.3,334.8,11.73
02/13,2909.4,324.6,11.16
02/14,2919.9,312.3,10.70
02/15,2777.0,299.6,10.79
02/16,2506.2,398.5,15.90
02/17,2830.0,374.4,13.23
02/18,2842.6,424.9,14.95
02/19,2837.4,356.4,12.56
02/20,2861.3,313.1,10.94
02/21,2852.7,313.8,11.00
02/22,2604.7,367.4,14.11
02/23,2506.4,374.0,14.92
02/24,2882.7,301.0,10.44
02/25,2919.6,312.4,10.70
02/26,2946.7,316.7,10.75
02/27,2836.8,425.3,14.99
02/28,2635.6,328.6,12.47
02/29,2567.7,280.6,10.93
03/01,2498.6,332.0,13.29
03/02,2855.7,329.5,11.54
03/03,2918.3,310.6,10.64
03/04,2885.8,375.8,13.02
03/05,2860.8,351.8,12.30
03/06,2856.9,317.9,11.13
03/07,2618.2,371.2,14.18
03/08,2555.7,337.9,13.22
03/09,2965.3,320.8,10.82
03/10,2859.1,393.1,13.75
03/11,2853.1,325.5,11.41
03/12,2934.8,300.2,10.23
03/13,2916.5,309.8,10.62
03/14,2580.2,382.6,14.83
03/15,2483.7,349.3,14.06
03/16,2798.4,482.0,17.22
03/17,2875.3,414.3,14.41
03/18,2911.8,415.3,14.26
03/19,2938.9,308.5,10.50
03/20,2903.0,370.0,12.75
03/21,2663.5,302.0,11.34
03/22,2608.8,308.6,11.83
03/23,2937.2,377.1,12.84
03/24,2947.0,412.5,14.00
03/25,3003.8,357.7,11.91
03/26,3084.2,318.7,10.33
03/27,3126.0,326.4,10.44
03/28,2589.3,406.6,15.70
03/29,2515.2,348.9,13.87
03/30,2871.6,350.8,12.22
03/31,2916.2,332.2,11.39
04/01,2827.8,409.5,14.48
04/02,2544.3,410.8,16.15
04/03,2512.0,374.9,14.92
04/04,2423.8,441.4,18.21
04/05,2434.7,424.9,17.45
04/06,2824.6,405.4,14.35
04/07,2810.8,403.7,14.36
04/08,2824.6,336.4,11.91
04/09,2828.5,367.8,13.00
04/10,2847.0,465.0,16.33
04/11,2575.2,317.9,12.34
04/12,2460.4,280.9,11.42
04/13,2761.4,332.8,12.05
04/14,2788.4,356.3,12.78
04/15,2818.2,349.7,12.41
04/16,2852.8,314.4,11.02
04/17,2899.0,360.9,12.45
04/18,2665.7,348.9,13.09
04/19,2651.8,302.8,11.42
04/20,2998.6,409.1,13.64
04/21,2998.6,437.6,14.59
04/22,2859.5,403.1,14.10
04/23,2805.0,394.8,14.07
04/24,2767.8,394.8,14.26
04/25,2565.9,316.6,12.34
04/26,2511.0,312.0,12.43
04/27,2870.6,381.0,13.27
04/28,2895.5,468.7,16.19
04/29,2953.2,334.6,11.33
04/30,2961.3,486.4,16.43
05/01,2678.6,351.2,13.11
05/02,2647.3,341.4,12.90
05/03,2681.5,296.7,11.06
05/04,3234.0,347.6,10.75
05/05,3332.1,340.0,10.20
05/06,3296.4,342.6,10.39
05/07,3251.0,373.6,11.49
05/08,3379.1,341.4,10.10
05/09,2970.0,382.3,12.87
05/10,2942.4,301.5,10.25
05/11,3320.3,335.0,10.09
05/12,3197.3,376.6,11.78
05/13,3226.4,419.9,13.01
05/14,3344.2,338.2,10.11
05/15,3378.7,362.2,10.72
