西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2018,1,1,2363.8,207.0,8.76
2018,1,2,2781.6,172.0,6.18
2018,1,3,2825.3,187.9,6.65
2018,1,4,2875.7,196.0,6.81
2018,1,5,2826.0,214.1,7.58
2018,1,6,2606.2,177.9,6.83
2018,1,7,2501.1,150.6,6.02
2018,1,8,2880.1,126.7,4.40
2018,1,9,2891.0,185.7,6.42
2018,1,10,2841.0,185.9,6.54
2018,1,11,2858.3,177.8,6.22
2018,1,12,2809.3,174.5,6.21
2018,1,13,2569.4,200.8,7.82
2018,1,14,2470.5,189.1,7.66
2018,1,15,2826.9,170.7,6.04
2018,1,16,2828.5,141.7,5.01
2018,1,17,2834.0,165.6,5.84
2018,1,18,2907.6,181.7,6.25
2018,1,19,2846.7,187.4,6.58
2018,1,20,2588.3,192.1,7.42
2018,1,21,2469.5,192.2,7.78
2018,1,22,2826.4,200.4,7.09
2018,1,23,2838.1,213.9,7.54
2018,1,24,2822.8,176.1,6.24
2018,1,25,2835.2,178.5,6.30
2018,1,26,2753.7,210.1,7.63
2018,1,27,2538.3,185.7,7.31
2018,1,28,2453.5,219.2,8.93
2018,1,29,2839.7,182.4,6.42
2018,1,30,2860.6,177.1,6.19
2018,1,31,2836.4,244.2,8.61
2018,2,1,2852.1,219.6,7.70
2018,2,2,2820.2,197.9,7.02
2018,2,3,2635.3,161.5,6.13
2018,2,4,2627.3,158.3,6.02
2018,2,5,2905.9,147.6,5.08
2018,2,6,2851.0,191.5,6.72
2018,2,7,2888.9,146.3,5.06
2018,2,8,2843.6,167.2,5.88
2018,2,9,2830.3,200.1,7.07
2018,2,10,2601.5,270.4,10.39
2018,2,11,2534.9,207.7,8.19
2018,2,12,2732.4,247.1,9.04
2018,2,13,2630.0,198.3,7.54
2018,2,14,2348.2,238.2,10.14
2018,2,15,2097.9,242.2,11.54
2018,2,16,2075.9,246.2,11.86
2018,2,17,2028.2,270.0,13.31
2018,2,18,2098.7,210.7,10.04
2018,2,19,2207.1,159.5,7.22
2018,2,20,2326.1,187.3,8.05
2018,2,21,2651.0,160.1,6.04
2018,2,22,2728.3,127.8,4.68
2018,2,23,2709.3,207.6,7.66
2018,2,24,2531.7,232.5,9.18
2018,2,25,2469.0,227.3,9.21
2018,2,26,2743.5,217.1,7.91
2018,2,27,2781.8,168.1,6.04
2018,2,28,2639.4,168.3,6.38
2018,3,1,2837.2,183.9,6.48
2018,3,2,2814.3,202.6,7.20
2018,3,3,2605.2,188.4,7.23
2018,3,4,2543.1,173.2,6.81
2018,3,5,2946.0,102.9,3.49
2018,3,6,2798.9,174.0,6.22
2018,3,7,2846.9,127.7,4.49
2018,3,8,2794.4,188.5,6.75
2018,3,9,2761.7,191.0,6.92
2018,3,10,2494.6,173.4,6.95
2018,3,11,2424.5,169.0,6.97
2018,3,12,2793.5,176.3,6.31
2018,3,13,2841.8,191.1,6.72
2018,3,14,2853.6,198.1,6.94
2018,3,15,2894.1,197.4,6.82
2018,3,16,2862.0,199.7,6.98
2018,3,17,2579.4,180.0,6.98
2018,3,18,2480.8,156.9,6.33
2018,3,19,2910.2,166.0,5.70
2018,3,20,2882.3,198.8,6.90
2018,3,21,2769.9,192.3,6.94
2018,3,22,2798.2,193.1,6.90
2018,3,23,2764.2,189.7,6.86
2018,3,24,2514.9,173.3,6.89
2018,3,25,2457.3,171.5,6.98
2018,3,26,2838.3,179.9,6.34
2018,3,27,2860.2,199.7,6.98
2018,3,28,2875.3,199.5,6.94
2018,3,29,2898.3,179.0,6.18
2018,3,30,2889.7,190.0,6.57
2018,3,31,2784.5,194.1,6.97
2018,4,1,2507.2,173.4,6.91
2018,4,2,2904.7,189.4,6.52
2018,4,3,2926.7,188.7,6.45
2018,4,4,2612.1,159.6,6.11
2018,4,5,2498.1,174.4,6.98
2018,4,6,2445.0,170.8,6.99
2018,4,7,2394.0,167.0,6.97
2018,4,8,2389.5,165.5,6.92
2018,4,9,2823.2,197.0,6.98
2018,4,10,2872.8,199.9,6.96
2018,4,11,3019.3,172.6,5.72
2018,4,12,3064.5,159.9,5.22
2018,4,13,3106.8,177.0,5.70
2018,4,14,2772.1,180.9,6.53
2018,4,15,2463.0,161.9,6.57
2018,4,16,2836.5,191.8,6.76
2018,4,17,2839.9,197.8,6.97
2018,4,18,2852.1,187.4,6.57
2018,4,19,2944.2,195.7,6.65
2018,4,20,2938.0,199.0,6.77
2018,4,21,2696.2,186.0,6.90
2018,4,22,2635.6,162.5,6.17
2018,4,23,3148.7,152.9,4.86
2018,4,24,3111.0,170.9,5.49
2018,4,25,2957.0,204.9,6.93
2018,4,26,2994.4,206.4,6.89
2018,4,27,3035.6,208.7,6.87
2018,4,28,2683.5,187.5,6.99
2018,4,29,2607.4,178.7,6.85
2018,4,30,3008.6,207.3,6.89
2018,5,1,2866.5,178.8,6.24
2018,5,2,3235.1,158.0,4.88
2018,5,3,3065.9,213.2,6.95
2018,5,4,3063.8,209.0,6.82
2018,5,5,2747.7,186.2,6.78
2018,5,6,2751.7,191.9,6.97
2018,5,7,3276.2,180.6,5.51
2018,5,8,3172.9,215.3,6.78
2018,5,9,3010.4,210.0,6.98
2018,5,10,3017.4,208.8,6.92
2018,5,11,3073.5,209.0,6.80
2018,5,12,2743.9,190.8,6.95
2018,5,13,2708.8,189.0,6.98
2018,5,14,3291.4,199.2,6.05
2018,5,15,3351.8,172.3,5.14
2018,5,16,3423.5,155.5,4.54
2018,5,17,3469.2,176.4,5.09
2018,5,18,3506.1,177.6,5.07
2018,5,19,3056.7,213.2,6.97
2018,5,20,2960.7,182.8,6.17
2018,5,21,3426.9,183.1,5.34
2018,5,22,3477.6,187.2,5.38
2018,5,23,3489.2,150.6,4.32
2018,5,24,3409.9,236.0,6.92
2018,5,25,3502.3,196.0,5.60
2018,5,26,3041.6,212.0,6.97
2018,5,27,3028.7,182.0,6.01
2018,5,28,3600.7,129.1,3.59
2018,5,29,3632.9,104.9,2.89
2018,5,30,3677.1,123.1,3.35
2018,5,31,3671.3,143.1,3.90
2018,6,1,3354.9,234.7,6.99
2018,6,2,2903.1,196.0,6.75
2018,6,3,2848.0,194.8,6.84
2018,6,4,3447.8,240.0,6.96
2018,6,5,3530.2,226.7,6.42
2018,6,6,3580.2,218.6,6.11
2018,6,7,3570.2,234.8,6.58
2018,6,8,3610.2,217.8,6.03
2018,6,9,3177.5,191.7,6.03
2018,6,10,2979.8,183.9,6.17
2018,6,11,3255.7,256.9,7.89
2018,6,12,3351.7,217.8,6.50
2018,6,13,3403.4,211.1,6.20
2018,6,14,3373.7,219.1,6.49
2018,6,15,3161.4,211.6,6.69
2018,6,16,2861.9,191.0,6.67
2018,6,17,2726.2,189.7,6.96
2018,6,18,2794.8,194.3,6.95
2018,6,19,3206.3,255.0,7.95
