西元年,行業代碼,行業名稱,貢獻度_百分點
2015,3級_工業,工業,0.33
2015,3級_服務業,服務業,0.76
2015,3級_農業,農業,-0.14
2015,A,農、林、漁、牧業,-0.14
2015,B,礦業及土石採取業,-0.01
2015,C,製造業,0.43
2015,D,電力及燃氣供應業,-0.05
2015,E,用水供應及污染整治業,-0.02
2015,F,營建工程業,-0.02
2015,G,批發及零售業,-0.08
2015,GDP,GDP,1.47
2015,H,運輸及倉儲業,-0.02
2015,I,住宿及餐飲業,0.02
2015,ICT,ICT產業,0.71
2015,J,出版影音及資通訊業,0.25
2015,K,金融及保險業,0.27
2015,L,不動產及住宅服務業,0.17
2015,M,專業、科學及技術服務業,0.03
2015,N,支援服務業,0.12
2015,O,公共行政及國防；強制性社會安全,0.0
2015,P,教育業,-0.01
2015,Q,醫療保健及社會工作服務業,0.04
2015,R,藝術、娛樂及休閒服務業,0.0
2015,S,其他服務業,-0.02
2015,加值型營業稅,加值型營業稅,-0.02
2015,合計,合計,0.96
2015,總計(生產面),總計(生產面),0.95
2015,進口稅,進口稅,0.01
2016,3級_工業,工業,1.36
2016,3級_服務業,服務業,0.82
2016,3級_農業,農業,-0.17
2016,A,農、林、漁、牧業,-0.17
2016,B,礦業及土石採取業,-0.01
2016,C,製造業,1.28
2016,D,電力及燃氣供應業,0.11
2016,E,用水供應及污染整治業,0.01
2016,F,營建工程業,-0.03
2016,G,批發及零售業,0.03
2016,GDP,GDP,2.17
2016,H,運輸及倉儲業,0.09
2016,I,住宿及餐飲業,0.03
2016,ICT,ICT產業,0.93
2016,J,出版影音及資通訊業,0.19
2016,K,金融及保險業,0.15
2016,L,不動產及住宅服務業,0.08
2016,M,專業、科學及技術服務業,0.04
2016,N,支援服務業,0.09
2016,O,公共行政及國防；強制性社會安全,0.0
2016,P,教育業,-0.06
2016,Q,醫療保健及社會工作服務業,0.09
2016,R,藝術、娛樂及休閒服務業,-0.01
2016,S,其他服務業,-0.02
2016,加值型營業稅,加值型營業稅,0.1
2016,合計,合計,1.89
2016,總計(生產面),總計(生產面),2.01
2016,進口稅,進口稅,0.02
2017,3級_工業,工業,2.34
2017,3級_服務業,服務業,1.36
2017,3級_農業,農業,0.16
2017,A,農、林、漁、牧業,0.16
2017,B,礦業及土石採取業,0.0
2017,C,製造業,2.36
2017,D,電力及燃氣供應業,0.0
2017,E,用水供應及污染整治業,0.01
2017,F,營建工程業,-0.03
2017,G,批發及零售業,0.33
2017,GDP,GDP,3.66
2017,H,運輸及倉儲業,0.16
2017,I,住宿及餐飲業,0.02
2017,ICT,ICT產業,1.47
2017,J,出版影音及資通訊業,0.11
2017,K,金融及保險業,0.3
2017,L,不動產及住宅服務業,0.14
2017,M,專業、科學及技術服務業,0.1
2017,N,支援服務業,0.05
2017,O,公共行政及國防；強制性社會安全,0.03
2017,P,教育業,-0.01
2017,Q,醫療保健及社會工作服務業,0.06
2017,R,藝術、娛樂及休閒服務業,0.01
2017,S,其他服務業,-0.03
2017,加值型營業稅,加值型營業稅,0.04
2017,合計,合計,3.77
2017,總計(生產面),總計(生產面),3.86
2017,進口稅,進口稅,0.05
2018,3級_工業,工業,1.29
2018,3級_服務業,服務業,1.36
2018,3級_農業,農業,0.09
2018,A,農、林、漁、牧業,0.09
2018,B,礦業及土石採取業,0.0
2018,C,製造業,1.24
2018,D,電力及燃氣供應業,0.0
2018,E,用水供應及污染整治業,0.02
2018,F,營建工程業,0.03
2018,G,批發及零售業,0.14
2018,GDP,GDP,2.91
2018,H,運輸及倉儲業,0.14
2018,I,住宿及餐飲業,0.07
2018,ICT,ICT產業,0.81
2018,J,出版影音及資通訊業,0.17
2018,K,金融及保險業,0.21
2018,L,不動產及住宅服務業,0.21
2018,M,專業、科學及技術服務業,0.07
2018,N,支援服務業,0.07
2018,O,公共行政及國防；強制性社會安全,0.05
2018,P,教育業,0.01
2018,Q,醫療保健及社會工作服務業,0.12
