period,西元年,季,industry_code,industry_name,貢獻度_百分點,年增率_pct
1983Q1,1983,1,3級_工業,工業,2.1,
1983Q1,1983,1,3級_服務業,服務業,1.95,
1983Q1,1983,1,3級_農業,農業,-0.06,
1983Q1,1983,1,A,農、林、漁、牧業,-0.06,
1983Q1,1983,1,B,礦業及土石採取業,0.04,
1983Q1,1983,1,C,製造業,2.25,
1983Q1,1983,1,D,電力及燃氣供應業,0.19,
1983Q1,1983,1,E,用水供應及污染整治業,0.09,
1983Q1,1983,1,F,營建工程業,-0.47,
1983Q1,1983,1,G,批發及零售業,0.64,
1983Q1,1983,1,GDP,GDP,4.27,
1983Q1,1983,1,H,運輸及倉儲業,0.33,
1983Q1,1983,1,I,住宿及餐飲業,0.16,
1983Q1,1983,1,J,出版影音及資通訊業,0.26,
1983Q1,1983,1,K,金融及保險業,-1.02,
1983Q1,1983,1,L,不動產及住宅服務業,0.6,
1983Q1,1983,1,M,專業、科學及技術服務業,0.11,
1983Q1,1983,1,N,支援服務業,-0.01,
1983Q1,1983,1,O,公共行政及國防；強制性社會安全,0.36,
1983Q1,1983,1,P,教育業,0.22,
1983Q1,1983,1,Q,醫療保健及社會工作服務業,0.16,
1983Q1,1983,1,R,藝術、娛樂及休閒服務業,0.04,
1983Q1,1983,1,S,其他服務業,0.16,
1983Q1,1983,1,加值型營業稅,加值型營業稅,0.0,
1983Q1,1983,1,合計,合計,4.05,
1983Q1,1983,1,總計(生產面),總計(生產面),3.99,
1983Q1,1983,1,進口稅,進口稅,-0.06,
1983Q2,1983,2,3級_工業,工業,4.82,
1983Q2,1983,2,3級_服務業,服務業,3.53,
1983Q2,1983,2,3級_農業,農業,0.3,
1983Q2,1983,2,A,農、林、漁、牧業,0.3,
1983Q2,1983,2,B,礦業及土石採取業,0.01,
1983Q2,1983,2,C,製造業,4.85,
1983Q2,1983,2,D,電力及燃氣供應業,0.12,
1983Q2,1983,2,E,用水供應及污染整治業,0.05,
1983Q2,1983,2,F,營建工程業,-0.21,
1983Q2,1983,2,G,批發及零售業,1.37,
1983Q2,1983,2,GDP,GDP,8.39,
1983Q2,1983,2,H,運輸及倉儲業,0.44,
1983Q2,1983,2,I,住宿及餐飲業,0.18,
1983Q2,1983,2,J,出版影音及資通訊業,0.28,
1983Q2,1983,2,K,金融及保險業,-0.67,
1983Q2,1983,2,L,不動產及住宅服務業,0.59,
1983Q2,1983,2,M,專業、科學及技術服務業,0.14,
1983Q2,1983,2,N,支援服務業,0.01,
1983Q2,1983,2,O,公共行政及國防；強制性社會安全,0.36,
1983Q2,1983,2,P,教育業,0.27,
1983Q2,1983,2,Q,醫療保健及社會工作服務業,0.09,
1983Q2,1983,2,R,藝術、娛樂及休閒服務業,0.04,
1983Q2,1983,2,S,其他服務業,0.22,
1983Q2,1983,2,加值型營業稅,加值型營業稅,0.0,
1983Q2,1983,2,合計,合計,8.44,
1983Q2,1983,2,總計(生產面),總計(生產面),8.65,
1983Q2,1983,2,進口稅,進口稅,0.21,
1983Q3,1983,3,3級_工業,工業,7.54,
1983Q3,1983,3,3級_服務業,服務業,4.4,
1983Q3,1983,3,3級_農業,農業,0.23,
1983Q3,1983,3,A,農、林、漁、牧業,0.23,
1983Q3,1983,3,B,礦業及土石採取業,0.01,
1983Q3,1983,3,C,製造業,6.89,
1983Q3,1983,3,D,電力及燃氣供應業,0.68,
1983Q3,1983,3,E,用水供應及污染整治業,0.04,
1983Q3,1983,3,F,營建工程業,-0.08,
1983Q3,1983,3,G,批發及零售業,1.2,
1983Q3,1983,3,GDP,GDP,11.29,
1983Q3,1983,3,H,運輸及倉儲業,0.34,
1983Q3,1983,3,I,住宿及餐飲業,0.2,
1983Q3,1983,3,J,出版影音及資通訊業,0.33,
