西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2014,A,農、林、漁、牧業,625086.0,322305.0,302781.0,-13888.0,19431.0,63033.0,234205.0
2014,B,礦業及土石採取業,25935.0,11607.0,14328.0,511.0,3362.0,4474.0,5981.0
2014,C,製造業,20893174.0,15836536.0,5056638.0,226079.0,1181612.0,1944999.0,1703948.0
2014,CA,食品及飼品製造業,712037.0,597087.0,114950.0,3730.0,11284.0,64449.0,35487.0
2014,CB,飲料及菸草製造業,130539.0,47561.0,82978.0,52289.0,4131.0,16142.0,10416.0
2014,CC,紡織業,410699.0,315427.0,95272.0,802.0,10376.0,58918.0,25176.0
2014,CD,成衣及服飾品製造業,150671.0,114422.0,36249.0,290.0,1472.0,23735.0,10752.0
2014,CE,皮革、毛皮及其製品製造業,60471.0,42984.0,17487.0,136.0,2046.0,10056.0,5249.0
2014,CF,木竹製品製造業,47062.0,36285.0,10777.0,125.0,1250.0,8310.0,1092.0
2014,CG,紙漿、紙及紙製品製造業,228897.0,179302.0,49595.0,427.0,5309.0,29755.0,14104.0
2014,CH,印刷及資料儲存媒體複製業,119462.0,78022.0,41440.0,241.0,4615.0,27484.0,9100.0
2014,CI,石油及煤製品製造業,1383826.0,1269001.0,114825.0,94513.0,28997.0,24738.0,-33423.0
2014,CJ,化學材料及肥料製造業,2475512.0,2227540.0,247972.0,2229.0,55151.0,83733.0,106859.0
2014,CK,其他化學製品製造業,315439.0,235715.0,79724.0,759.0,8473.0,40393.0,30099.0
2014,CL,藥品及醫用化學製品製造業,104275.0,65160.0,39115.0,262.0,7098.0,18569.0,13186.0
2014,CM,橡膠製品製造業,118559.0,71356.0,47203.0,1456.0,4018.0,25758.0,15971.0
2014,CN,塑膠製品製造業,475650.0,357897.0,117753.0,1412.0,12538.0,67417.0,36386.0
2014,CO,非金屬礦物製品製造業,434470.0,314682.0,119788.0,6346.0,21705.0,61829.0,29908.0
2014,CP,基本金屬製造業,1964500.0,1663114.0,301386.0,3069.0,38228.0,90757.0,169332.0
2014,CQ,金屬製品製造業,986280.0,694411.0,291869.0,3972.0,33990.0,185734.0,68173.0
2014,CR,電子零組件製造業,4867723.0,2968681.0,1899042.0,5056.0,714840.0,486601.0,692545.0
2014,CS,電腦、電子產品及光學製品製造業,2840654.0,2251372.0,589282.0,4164.0,123363.0,211552.0,250203.0
2014,CT,電力設備及配備製造業,655571.0,503494.0,152077.0,4543.0,23515.0,83913.0,40106.0
2014,CU,機械設備製造業,1030557.0,774551.0,256006.0,2993.0,22094.0,135558.0,95361.0
2014,CV,汽車及其零件製造業,538891.0,402738.0,136153.0,30881.0,21608.0,58116.0,25548.0
2014,CW,其他運輸工具及其零件製造業,383940.0,296622.0,87318.0,5222.0,12768.0,48448.0,20880.0
2014,CX,家具製造業,80918.0,63189.0,17729.0,169.0,1748.0,13175.0,2637.0
2014,CY,其他製造業,376571.0,265923.0,110648.0,993.0,10995.0,69859.0,28801.0
2014,D,電力及燃氣供應業,822347.0,583562.0,238785.0,4025.0,121890.0,43767.0,69103.0
2014,E,用水供應及污染整治業,206574.0,112600.0,93974.0,451.0,15540.0,27038.0,50945.0
