西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2015,A,農、林、漁、牧業,607694.0,308839.0,298855.0,326712.0,91.47
2015,B,礦業及土石採取業,22412.0,9155.0,13257.0,11456.0,115.72
2015,C,製造業,19344571.0,13995639.0,5348932.0,5268159.0,101.53
2015,CA,食品及飼品製造業,702371.0,578171.0,124200.0,141827.0,87.57
2015,CB,飲料及菸草製造業,131136.0,46515.0,84621.0,96319.0,87.85
2015,CC,紡織業,413269.0,305580.0,107689.0,100835.0,106.8
2015,CD,成衣及服飾品製造業,155420.0,117013.0,38407.0,37997.0,101.08
2015,CE,皮革、毛皮及其製品製造業,58841.0,40214.0,18627.0,24463.0,76.14
2015,CF,木竹製品製造業,48161.0,36722.0,11439.0,12657.0,90.38
2015,CG,紙漿、紙及紙製品製造業,225842.0,174509.0,51333.0,71637.0,71.66
2015,CH,印刷及資料儲存媒體複製業,122686.0,79724.0,42962.0,49430.0,86.91
2015,CI,石油及煤製品製造業,922347.0,769529.0,152818.0,168312.0,90.79
2015,CJ,化學材料及肥料製造業,2027131.0,1695829.0,331302.0,389538.0,85.05
2015,CK,其他化學製品製造業,310337.0,223414.0,86923.0,70657.0,123.02
2015,CL,藥品及醫用化學製品製造業,102655.0,61342.0,41313.0,45158.0,91.49
2015,CM,橡膠製品製造業,117291.0,68713.0,48578.0,48373.0,100.42
2015,CN,塑膠製品製造業,470971.0,341060.0,129911.0,141784.0,91.63
2015,CO,非金屬礦物製品製造業,416050.0,296989.0,119061.0,134748.0,88.36
2015,CP,基本金屬製造業,1573485.0,1323034.0,250451.0,371134.0,67.48
2015,CQ,金屬製品製造業,1004380.0,685959.0,318421.0,323052.0,98.57
2015,CR,電子零組件製造業,4620745.0,2664819.0,1955926.0,1856873.0,105.33
2015,CS,電腦、電子產品及光學製品製造業,2889574.0,2258084.0,631490.0,483235.0,130.68
2015,CT,電力設備及配備製造業,644173.0,485467.0,158706.0,155310.0,102.19
2015,CU,機械設備製造業,1017022.0,753544.0,263478.0,220699.0,119.38
2015,CV,汽車及其零件製造業,519708.0,371478.0,148230.0,135221.0,109.62
2015,CW,其他運輸工具及其零件製造業,393982.0,297898.0,96084.0,84862.0,113.22
2015,CX,家具製造業,84651.0,64517.0,20134.0,18883.0,106.63
2015,CY,其他製造業,372343.0,255515.0,116828.0,95721.0,122.05
2015,D,電力及燃氣供應業,756974.0,453513.0,303461.0,194710.0,155.85
2015,E,用水供應及污染整治業,199935.0,108253.0,91682.0,102372.0,89.56
2015,F,營建工程業,1497225.0,1076899.0,420326.0,555274.0,75.7
2015,G,批發及零售業,3718005.0,1053260.0,2664745.0,2729177.0,97.64
2015,GDP,GDP,,,17055080.0,17564746.0,97.1
2015,H,運輸及倉儲業,1229791.0,713198.0,516593.0,948487.0,54.46
2015,I,住宿及餐飲業,886095.0,469523.0,416572.0,460258.0,90.51
2015,ICT,ICT產業,8230242.0,5218014.0,3012228.0,2717266.0,110.86
2015,J,出版影音及資通訊業,986487.0,460360.0,526127.0,467929.0,112.44
2015,K,金融及保險業,1600527.0,501182.0,1099345.0,1081325.0,101.67
2015,L,不動產及住宅服務業,1765787.0,397831.0,1367956.0,1457814.0,93.84
2015,M,專業、科學及技術服務業,637845.0,268290.0,369555.0,408283.0,90.51
