西元年,月,年月,電子零組件用電_千度,單位
2017,1,201701,2649827.617,千度
2017,2,201702,2441695.53,千度
2017,3,201703,2772737.269,千度
2017,4,201704,2747690.168,千度
2017,5,201705,2952464.75,千度
2017,6,201706,2957290.087,千度
2017,7,201707,3104439.268,千度
2017,8,201708,3160752.151,千度
2017,9,201709,3060333.564,千度
2017,10,201710,3056050.47,千度
2017,11,201711,2878286.41,千度
2017,12,201712,2867305.003,千度
2018,1,201801,3734743.07,千度
2018,2,201802,3375134.619,千度
2018,3,201803,3759807.663,千度
2018,4,201804,3781027.24,千度
2018,5,201805,4089297.88,千度
2018,6,201806,3961149.339,千度
2018,7,201807,4183340.107,千度
2018,8,201808,4166219.312,千度
2018,9,201809,3990803.573,千度
2018,10,201810,3953778.055,千度
2018,11,201811,3803233.919,千度
2018,12,201812,3786094.101,千度
2019,1,201901,3736774.462,千度
2019,2,201902,3325316.036,千度
2019,3,201903,3801721.018,千度
2019,4,201904,3833119.885,千度
2019,5,201905,4059449.593,千度
2019,6,201906,3962433.225,千度
2019,7,201907,4250586.107,千度
2019,8,201908,4270340.505,千度
2019,9,201909,4027285.801,千度
2019,10,201910,4084847.589,千度
2019,11,201911,3883953.268,千度
2019,12,201912,3957236.623,千度
2020,1,202001,3914687.728,千度
2020,2,202002,3763329.285,千度
2020,3,202003,4102634.27,千度
2020,4,202004,4023136.337,千度
2020,5,202005,4370513.277,千度
2020,6,202006,4335154.958,千度
2020,7,202007,4568212.663,千度
2020,8,202008,4570080.305,千度
2020,9,202009,4411590.844,千度
2020,10,202010,4430366.552,千度
2020,11,202011,4303331.358,千度
2020,12,202012,4365489.695,千度
2021,1,202101,4145528.94,千度
2021,2,202102,3878407.066,千度
2021,3,202103,4414996.682,千度
2021,4,202104,4327194.525,千度
2021,5,202105,4789187.975,千度
2021,6,202106,4737121.853,千度
2021,7,202107,5002319.228,千度
2021,8,202108,4970830.903,千度
2021,9,202109,4844640.519,千度
2021,10,202110,4925019.857,千度
2021,11,202111,4625851.987,千度
2021,12,202112,4722657.794,千度
2022,1,202201,4559947.425,千度
2022,2,202202,4180554.867,千度
2022,3,202203,4691789.052,千度
2022,4,202204,4719781.333,千度
2022,5,202205,4973508.545,千度
2022,6,202206,4990847.987,千度
2022,7,202207,5139105.427,千度
2022,8,202208,5174725.476,千度
2022,9,202209,4828186.726,千度
2022,10,202210,4899695.028,千度
2022,11,202211,4732682.894,千度
2022,12,202212,4715132.923,千度
2023,1,202301,4600694.695,千度
2023,2,202302,4140919.54126,千度
2023,3,202303,4796906.51981,千度
2023,4,202304,4754055.66252,千度
2023,5,202305,5102453.89845,千度
2023,6,202306,5103545.13074,千度
2023,7,202307,5398311.55384,千度
2023,8,202308,5389099.09011,千度
2023,9,202309,5170251.15062,千度
2023,10,202310,5270452.67953,千度
2023,11,202311,4854723.66443,千度
2023,12,202312,4978222.29412,千度
2024,1,202401,4918360.7474,千度
2024,2,202402,4566109.82118,千度
2024,3,202403,5025003.83109,千度
2024,4,202404,4976952.4447,千度
2024,5,202405,5336528.98358,千度
2024,6,202406,5323951.076,千度
2024,7,202407,5517287.46477,千度
2024,8,202408,5584931.22914,千度
2024,9,202409,5407854.48691,千度
2024,10,202410,5463172.55547,千度
2024,11,202411,5183165.03216,千度
2024,12,202412,5110121.10789,千度
2025,1,202501,4976777.70202,千度
2025,2,202502,4680643.55235,千度
2025,3,202503,5327808.12098,千度
2025,4,202504,5269203.47449,千度
2025,5,202505,5581635.90572,千度
2025,6,202506,5538498.82358,千度
2025,7,202507,5771367.16353,千度
2025,8,202508,5870135.78904,千度
2025,9,202509,5641466.0798,千度
2025,10,202510,6037735.43687,千度
2025,11,202511,5645030.64609,千度
2025,12,202512,5644103.78756,千度
2026,1,202601,5400232.74346,千度
