西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2017,1,201701,5778028.188585029,0.0,1256881.38323272,82994.491,1889489.4,190453.117,3313731.595064,132103.52028330002,24143.0,1637622.981422746,0.0,224204.835,629755.9632832999,12010407.148304496,4.98
2017,2,201702,4288119.008077346,0.0,1106425.6752695357,95774.711,1760017.6,262570.337,2651738.358,118878.736415,24668.0,1438554.780244676,0.0,208956.184,686179.9684150001,9509505.821591558,6.73
2017,3,201703,5415541.243969278,0.0,1291146.00040581,112901.94,1946697.6,332014.614,3440993.14,123161.0253358,26243.0,1680985.6094245582,0.0,146332.865,714410.4443358,11854908.993799647,5.68
2017,4,201704,4944267.234023472,0.0,1280557.532430482,137796.243,1300292.4,329372.428,2944413.799,104670.2080251,19162.0,1673303.0539193477,0.0,100977.558,672816.4370251,10861703.619373301,5.83
2017,5,201705,4993491.92133509,0.0,1404184.4946977708,150246.015,1083266.6,567075.145,3900728.739,116754.76391539999,23421.0,1832704.8663343904,0.0,65364.725,899440.6489154,12154531.02136725,6.89
2017,6,201706,5724106.3745990805,0.0,1494239.4780000579,156743.808,1499277.8,1067641.762,3803738.27,125032.3816681,23432.0,1951567.666515632,0.0,76315.899,1425733.8506681,12997083.78911477,9.89
2017,7,201707,5679495.984428712,0.0,1511343.1194592046,171632.329,2105131.4,701398.061,3120242.134,133275.0431219,24429.0,1973258.251019484,0.0,35543.537,1041848.9701218999,12308768.4889074,7.8
2017,8,201708,5534022.63728682,0.0,1707409.6881822303,175309.038,2205769.6,572228.323,3766660.436,127412.9175258,24435.0,2232060.788400544,0.0,69645.998,944596.2765257999,13264588.549869595,6.65
2017,9,201709,4985055.457724272,0.0,1531354.364060481,156622.735,2120569.8,334963.088,3480019.717,125781.7108328,23573.0,2000433.982782057,0.0,44262.306,661629.8398328,12020436.52156681,5.22
2017,10,201710,4668816.7766788555,0.0,1504729.4817988067,159339.987,2199611.8,435014.275,3364871.991,110238.2865301,20720.0,1967825.138196647,0.0,245174.037,949766.5855301,11526963.38767431,7.61
2017,11,201711,5214602.992105933,0.0,1367303.7888322892,142455.918,2144604.8,348581.489,2785572.29104,109319.4230154,19018.0,1787936.1123697327,0.0,231698.808,832055.6380154,11174433.184347956,6.93
2017,12,201712,5500508.643355736,0.0,1368629.6033892771,125635.734,2190802.0,305502.148,3249482.465,133056.5510553,12457.0,1795518.1875849569,0.0,273981.872,838176.3050553,11926595.89932997,6.57
2018,1,201801,5171368.066908644,0.0,1458003.5796844752,107822.116,2226158.4,491072.204,2709939.0224,143519.339270234,9864.72,1915796.085183507,0.0,226132.434,968546.093270234,11264971.474176627,7.92
2018,2,201802,5253293.911948468,0.0,1146184.8768207678,113029.886,2004852.6,471923.814,2628168.22364,117622.322726296,10345.224,1503768.2827367468,0.0,210064.427,912640.449726296,10541760.51914598,7.97
2018,3,201803,5098863.297437169,0.0,1408181.5770927824,173252.602,2225543.2,379172.793,3209388.06456,129782.7146625637,16709.608,1843946.696873584,0.0,131051.283,813259.3926625638,11577089.243963534,6.56
2018,4,201804,4514704.394531868,0.0,1544621.3125451768,205464.235,1482958.8,302504.68,3230978.05336,107458.8736887949,15529.747,2025095.913004078,0.0,66879.6,682307.3886887948,11330929.420441123,5.68
2018,5,201805,6004207.63743639,0.0,1593222.4220989537,241645.502,1812508.8,291770.818,3346781.18824,118649.1773787227,18015.725,2087039.619392841,0.0,69881.261,721946.7583787227,13049266.592168182,5.24
2018,6,201806,5624412.073341511,0.0,1604489.7564968518,267055.28094,2565614.6,265271.01,4125207.6014,130556.675518263,16825.442,2102970.5301314,0.0,95870.265,758753.2314582631,13473905.403369762,5.33
2018,7,201807,5360949.515706722,0.836,1487189.9087796863,251850.853,2873690.4,396374.814,3423954.26336,137343.6642359781,18262.155,1946857.6529225192,0.0,73664.111,859234.2782359782,12237213.495768927,6.56
2018,8,201808,5437190.901712399,0.637,1565259.3286381408,290183.622,2932899.8,378448.038,3793166.41548,132874.24510509602,20225.026,2048164.512913457,0.0,46320.886,847827.428105096,12864006.184743995,6.18
2018,9,201809,5395890.307577673,0.0,1164871.009275965,265834.355,2838049.2,549589.528,3237516.58936,128190.03823460301,18844.978,1520878.6406887178,0.0,131795.215,1075409.136234603,11338001.524902357,8.66
2018,10,201810,5317448.350401238,0.0,1417908.397328366,271343.19679,2446792.6,454099.628,3450408.35524,125717.764597524,18266.666,1855402.0480289983,0.0,223274.796,1074435.385387524,12059433.816998601,8.18
2018,11,201811,5098497.438055145,0.0,1357352.4604098683,242584.57679,2131602.0,311079.727,3372291.47592,122101.2415858106,15820.855,1777642.2655188038,0.0,142816.418,818581.9633758107,11621604.494903818,6.58
2018,12,201812,5104470.877695983,0.0,1378789.0463996558,231535.19479,2137641.8,190337.561,2851891.147,131310.82840823501,18876.675,1803222.2745808791,0.0,291736.498,844920.082198235,11157250.020676518,7.04
2019,1,201901,5464984.45690239,0.0,1511864.1769536478,196142.65079,2708730.8,246154.63,3581811.1208,138304.75845210342,16012.861,1981427.0593565928,0.0,222954.681,803556.7202421036,12556099.67501263,6.01
2019,2,201902,4667395.31050828,0.0,1107643.0518457491,244991.44279,2695524.6,235942.214,2857843.1588,121940.8093143761,13828.072,1449797.2088808338,0.0,165409.655,768284.1211043762,10096506.802034864,7.07
2019,3,201903,5372400.138267361,0.0,1328591.5834441683,270127.35979,2961541.6,298490.724,3058449.38912,134216.218311144,11872.346,1743187.6937018577,0.0,127425.005,830259.307101144,11514501.150533387,6.73
2019,4,201904,4951133.167378695,139.227,1266712.5832589602,288154.37679,2341946.8,344569.343,3370233.70948,114635.66125463779,12790.83,1660690.9832351608,0.0,106032.027,853530.6350446377,11261561.273352815,7.05
2019,5,201905,6247582.62266633,18.707,1455936.8472698592,336940.74879,2332342.6,809042.212,3723827.526,125172.07367520289,16767.394,1906932.288173992,0.0,87218.116,1358391.857465203,13351046.67811018,9.23
