西元年,月,民國年,能源種類,能源流程,數值,單位
2016,1,民國105年1月,原油及石油產品,(+)自產,7352.06566064787,公噸油當量
2016,1,民國105年1月,原油及石油產品,(+)進口,5845174.305452666,公噸油當量
2016,1,民國105年1月,原油及石油產品,(-)出口,1321655.021011514,公噸油當量
2016,1,民國105年1月,原油及石油產品,(-)國際海運,107734.08,公噸油當量
2016,1,民國105年1月,原油及石油產品,(-)國際航空,217285.6,公噸油當量
2016,1,民國105年1月,原油及石油產品,(電子零組件製造業),0.0,公噸油當量
2016,1,民國105年1月,原油及石油產品,公用汽電共生廠,137.28,公噸油當量
2016,1,民國105年1月,原油及石油產品,公用發電廠,139683.6,公噸油當量
2016,1,民國105年1月,原油及石油產品,抽水用電,0.0,公噸油當量
2016,1,民國105年1月,原油及石油產品,氣體燃料供應業,102.67943515068492,公噸油當量
2016,1,民國105年1月,原油及石油產品,汽電共生廠,0.0,公噸油當量
2016,1,民國105年1月,原油及石油產品,油氣礦業,0.0,公噸油當量
2016,1,民國105年1月,原油及石油產品,煉油廠,243956.51185488305,公噸油當量
2016,1,民國105年1月,原油及石油產品,煉焦工場/煤製品業,1099.2,公噸油當量
2016,1,民國105年1月,原油及石油產品,煤礦業,155.52,公噸油當量
2016,1,民國105年1月,原油及石油產品,發電廠,129.48,公噸油當量
2016,1,民國105年1月,原油及石油產品,能源部門自用,245443.39129003373,公噸油當量
2016,1,民國105年1月,原油及石油產品,自用汽電共生廠,29551.29984704075,公噸油當量
2016,1,民國105年1月,原油及石油產品,自用發電廠,0.0,公噸油當量
2016,1,民國105年1月,原油及石油產品,高爐工場,0.0,公噸油當量
2016,1,民國105年1月,地熱,(+)自產,0.0,千度
2016,1,民國105年1月,地熱,(+)進口,0.0,千度
2016,1,民國105年1月,地熱,(-)出口,0.0,千度
2016,1,民國105年1月,地熱,(-)國際海運,0.0,千度
2016,1,民國105年1月,地熱,(-)國際航空,0.0,千度
2016,1,民國105年1月,地熱,(電子零組件製造業),0.0,千度
2016,1,民國105年1月,地熱,公用汽電共生廠,0.0,千度
