西元年,季度,period,民國年季,大類,指標名稱,數值,單位
2016,1,2016Q1,民國105年第1季,人均指標,平均每人用電量,2374.682,度
2016,1,2016Q1,民國105年第1季,人均指標,平均每人能源消費量,792.817,公斤油當量
2016,1,2016Q1,民國105年第1季,人均指標,平均每人負擔能源進口值,8166.706108,元
2016,1,2016Q1,民國105年第1季,依存度指標,進口石油依存度,99.825,%
2016,1,2016Q1,民國105年第1季,依存度指標,進口能源依存度,97.2026,%
2016,1,2016Q1,民國105年第1季,密集度指標,初級能源密集度,6.142,公斤油當量/千元
2016,1,2016Q1,民國105年第1季,密集度指標,工業部門能源消費密集度,4.023,公斤油當量/千元
2016,1,2016Q1,民國105年第1季,密集度指標,服務業部門能源消費密集度,0.412,公斤油當量/千元
2016,1,2016Q1,民國105年第1季,密集度指標,能源消費密集度,4.374,公斤油當量/千元
2016,1,2016Q1,民國105年第1季,密集度指標,能源生產力,228.580173,元/公斤油當量
2016,1,2016Q1,民國105年第1季,密集度指標,電力密集度,13.103696,度/千元
2016,1,2016Q1,民國105年第1季,彈性值指標,國內能源消費彈性值,12.646048,
2016,1,2016Q1,民國105年第1季,彈性值指標,電力消費彈性值,8.376861,
2016,1,2016Q1,民國105年第1季,能源進口指標,能源進口值占總進口值比例,11.5412,%
2016,1,2016Q1,民國105年第1季,集中度指標,發電能源種類集中度,56.5225,%
2016,1,2016Q1,民國105年第1季,集中度指標,能源供應種類集中度,55.5798,%
2016,1,2016Q1,民國105年第1季,集中度指標,進口原油來源集中度,43.89414630503084,%
2016,2,2016Q2,民國105年第2季,人均指標,平均每人用電量,2695.701,度
2016,2,2016Q2,民國105年第2季,人均指標,平均每人能源消費量,819.271,公斤油當量
2016,2,2016Q2,民國105年第2季,人均指標,平均每人負擔能源進口值,10138.289042,元
2016,2,2016Q2,民國105年第2季,依存度指標,進口石油依存度,99.8374,%
2016,2,2016Q2,民國105年第2季,依存度指標,進口能源依存度,97.6585,%
2016,2,2016Q2,民國105年第2季,密集度指標,初級能源密集度,6.267,公斤油當量/千元
2016,2,2016Q2,民國105年第2季,密集度指標,工業部門能源消費密集度,3.897,公斤油當量/千元
2016,2,2016Q2,民國105年第2季,密集度指標,服務業部門能源消費密集度,0.489,公斤油當量/千元
2016,2,2016Q2,民國105年第2季,密集度指標,能源消費密集度,4.367,公斤油當量/千元
2016,2,2016Q2,民國105年第2季,密集度指標,能源生產力,228.946947,元/公斤油當量
2016,2,2016Q2,民國105年第2季,密集度指標,電力密集度,14.371735,度/千元
2016,2,2016Q2,民國105年第2季,彈性值指標,國內能源消費彈性值,0.146143,
2016,2,2016Q2,民國105年第2季,彈性值指標,電力消費彈性值,1.341376,
2016,2,2016Q2,民國105年第2季,能源進口指標,能源進口值占總進口值比例,12.9794,%
2016,2,2016Q2,民國105年第2季,集中度指標,發電能源種類集中度,57.153,%
2016,2,2016Q2,民國105年第2季,集中度指標,能源供應種類集中度,55.718,%
2016,2,2016Q2,民國105年第2季,集中度指標,進口原油來源集中度,44.51369239037143,%
2016,3,2016Q3,民國105年第3季,人均指標,平均每人用電量,3015.415,度
2016,3,2016Q3,民國105年第3季,人均指標,平均每人能源消費量,820.935,公斤油當量
2016,3,2016Q3,民國105年第3季,人均指標,平均每人負擔能源進口值,10182.831099,元
2016,3,2016Q3,民國105年第3季,依存度指標,進口石油依存度,99.8285,%
2016,3,2016Q3,民國105年第3季,依存度指標,進口能源依存度,97.6277,%
2016,3,2016Q3,民國105年第3季,密集度指標,初級能源密集度,6.227,公斤油當量/千元
2016,3,2016Q3,民國105年第3季,密集度指標,工業部門能源消費密集度,3.656,公斤油當量/千元
2016,3,2016Q3,民國105年第3季,密集度指標,服務業部門能源消費密集度,0.537,公斤油當量/千元
2016,3,2016Q3,民國105年第3季,密集度指標,能源消費密集度,4.239,公斤油當量/千元
2016,3,2016Q3,民國105年第3季,密集度指標,能源生產力,235.900879,元/公斤油當量
2016,3,2016Q3,民國105年第3季,密集度指標,電力密集度,15.570711,度/千元
2016,3,2016Q3,民國105年第3季,彈性值指標,國內能源消費彈性值,-0.318677,
2016,3,2016Q3,民國105年第3季,彈性值指標,電力消費彈性值,0.682156,
2016,3,2016Q3,民國105年第3季,能源進口指標,能源進口值占總進口值比例,12.6793,%
2016,3,2016Q3,民國105年第3季,集中度指標,發電能源種類集中度,58.0559,%
2016,3,2016Q3,民國105年第3季,集中度指標,能源供應種類集中度,55.368,%
2016,3,2016Q3,民國105年第3季,集中度指標,進口原油來源集中度,41.08086724371625,%
2016,4,2016Q4,民國105年第4季,人均指標,平均每人用電量,2778.107,度
2016,4,2016Q4,民國105年第4季,人均指標,平均每人能源消費量,834.193,公斤油當量
2016,4,2016Q4,民國105年第4季,人均指標,平均每人負擔能源進口值,11600.429156,元
2016,4,2016Q4,民國105年第4季,依存度指標,進口石油依存度,99.8322,%
2016,4,2016Q4,民國105年第4季,依存度指標,進口能源依存度,97.811,%
2016,4,2016Q4,民國105年第4季,密集度指標,初級能源密集度,5.897,公斤油當量/千元
2016,4,2016Q4,民國105年第4季,密集度指標,工業部門能源消費密集度,3.67,公斤油當量/千元
2016,4,2016Q4,民國105年第4季,密集度指標,服務業部門能源消費密集度,0.468,公斤油當量/千元
2016,4,2016Q4,民國105年第4季,密集度指標,能源消費密集度,4.153,公斤油當量/千元
2016,4,2016Q4,民國105年第4季,密集度指標,能源生產力,240.735953,元/公斤油當量
2016,4,2016Q4,民國105年第4季,密集度指標,電力密集度,13.833793,度/千元
2016,4,2016Q4,民國105年第4季,彈性值指標,國內能源消費彈性值,0.837202,
2016,4,2016Q4,民國105年第4季,彈性值指標,電力消費彈性值,1.221839,
2016,4,2016Q4,民國105年第4季,能源進口指標,能源進口值占總進口值比例,13.5132,%
2016,4,2016Q4,民國105年第4季,集中度指標,發電能源種類集中度,57.8377,%
2016,4,2016Q4,民國105年第4季,集中度指標,能源供應種類集中度,56.4324,%
2016,4,2016Q4,民國105年第4季,集中度指標,進口原油來源集中度,39.52548269615334,%
2017,1,2017Q1,民國106年第1季,人均指標,平均每人用電量,2468.622,度
