西元年,月,民國年,產業,生產指數
2016,1,民國105年1月,其他化學製品業,89.82
2016,1,民國105年1月,其他製造業,78.37
2016,1,民國105年1月,其他運輸工具及其零件業,99.82
2016,1,民國105年1月,化學工業,55.29
2016,1,民國105年1月,化學材料及肥料業,116.89
2016,1,民國105年1月,印刷及資料儲存媒體複製業,90.63
2016,1,民國105年1月,基本金屬業,80.48
2016,1,民國105年1月,塑膠製品業,94.55
2016,1,民國105年1月,家具業,96.91
2016,1,民國105年1月,成衣及服飾品業,101.95
2016,1,民國105年1月,木竹製品業,113.14
2016,1,民國105年1月,機械設備業,83.95
2016,1,民國105年1月,橡膠製品業,70.79
2016,1,民國105年1月,民生工業,81.95
2016,1,民國105年1月,汽車及其零件業,67.62
2016,1,民國105年1月,產業用機械設備維修及安裝業,64.6
2016,1,民國105年1月,皮革、毛皮及其製品業,93.61
2016,1,民國105年1月,石油及煤製品業,119.24
2016,1,民國105年1月,紙漿、紙及紙製品業,115.74
2016,1,民國105年1月,紡織業,56.34
2016,1,民國105年1月,菸草業,96.26
2016,1,民國105年1月,藥品及醫用化學製品業,88.03
2016,1,民國105年1月,資訊電子工業,76.74
2016,1,民國105年1月,金屬機電工業,67.45
2016,1,民國105年1月,金屬製品業,87.89
2016,1,民國105年1月,電力設備及配備業,80.78
2016,1,民國105年1月,電子零組件業,53.02
2016,1,民國105年1月,電腦、電子產品及光學製品業,52.74
2016,1,民國105年1月,非金屬礦物製品業,73.88
2016,1,民國105年1月,食品及飼品業,86.11
2016,1,民國105年1月,飲料業,91.51
2016,2,民國105年2月,其他化學製品業,85.16
2016,2,民國105年2月,其他製造業,49.47
2016,2,民國105年2月,其他運輸工具及其零件業,66.61
2016,2,民國105年2月,化學工業,44.25
2016,2,民國105年2月,化學材料及肥料業,119.13
2016,2,民國105年2月,印刷及資料儲存媒體複製業,69.35
2016,2,民國105年2月,基本金屬業,63.65
2016,2,民國105年2月,塑膠製品業,70.82
2016,2,民國105年2月,家具業,75.88
2016,2,民國105年2月,成衣及服飾品業,80.65
2016,2,民國105年2月,木竹製品業,99.08
2016,2,民國105年2月,機械設備業,65.76
2016,2,民國105年2月,橡膠製品業,54.74
2016,2,民國105年2月,民生工業,61.89
2016,2,民國105年2月,汽車及其零件業,53.42
2016,2,民國105年2月,產業用機械設備維修及安裝業,50.62
2016,2,民國105年2月,皮革、毛皮及其製品業,83.18
2016,2,民國105年2月,石油及煤製品業,82.75
2016,2,民國105年2月,紙漿、紙及紙製品業,83.81
2016,2,民國105年2月,紡織業,40.19
2016,2,民國105年2月,菸草業,77.03
2016,2,民國105年2月,藥品及醫用化學製品業,63.53
2016,2,民國105年2月,資訊電子工業,57.66
2016,2,民國105年2月,金屬機電工業,56.78
2016,2,民國105年2月,金屬製品業,79.8
2016,2,民國105年2月,電力設備及配備業,61.74
2016,2,民國105年2月,電子零組件業,45.99
2016,2,民國105年2月,電腦、電子產品及光學製品業,46.16
2016,2,民國105年2月,非金屬礦物製品業,52.32
2016,2,民國105年2月,食品及飼品業,65.12
2016,2,民國105年2月,飲料業,67.1
2016,3,民國105年3月,其他化學製品業,95.7
2016,3,民國105年3月,其他製造業,77.71
2016,3,民國105年3月,其他運輸工具及其零件業,104.56
2016,3,民國105年3月,化學工業,63.37
2016,3,民國105年3月,化學材料及肥料業,112.7
2016,3,民國105年3月,印刷及資料儲存媒體複製業,95.88
2016,3,民國105年3月,基本金屬業,88.24
2016,3,民國105年3月,塑膠製品業,105.89
2016,3,民國105年3月,家具業,98.28
2016,3,民國105年3月,成衣及服飾品業,113.4
2016,3,民國105年3月,木竹製品業,114.53
2016,3,民國105年3月,機械設備業,93.89
2016,3,民國105年3月,橡膠製品業,83.52
2016,3,民國105年3月,民生工業,91.26
2016,3,民國105年3月,汽車及其零件業,76.16
2016,3,民國105年3月,產業用機械設備維修及安裝業,70.32
2016,3,民國105年3月,皮革、毛皮及其製品業,98.62
2016,3,民國105年3月,石油及煤製品業,122.58
2016,3,民國105年3月,紙漿、紙及紙製品業,148.8
2016,3,民國105年3月,紡織業,69.01
2016,3,民國105年3月,菸草業,99.06
2016,3,民國105年3月,藥品及醫用化學製品業,95.52
2016,3,民國105年3月,資訊電子工業,87.73
2016,3,民國105年3月,金屬機電工業,72.55
2016,3,民國105年3月,金屬製品業,95.25
2016,3,民國105年3月,電力設備及配備業,88.79
2016,3,民國105年3月,電子零組件業,57.67
2016,3,民國105年3月,電腦、電子產品及光學製品業,57.0
2016,3,民國105年3月,非金屬礦物製品業,75.78
2016,3,民國105年3月,食品及飼品業,88.26
2016,3,民國105年3月,飲料業,83.4
2016,4,民國105年4月,其他化學製品業,91.33
2016,4,民國105年4月,其他製造業,69.56
2016,4,民國105年4月,其他運輸工具及其零件業,83.91
2016,4,民國105年4月,化學工業,58.57
2016,4,民國105年4月,化學材料及肥料業,107.72
2016,4,民國105年4月,印刷及資料儲存媒體複製業,87.91
2016,4,民國105年4月,基本金屬業,80.55
2016,4,民國105年4月,塑膠製品業,90.84
2016,4,民國105年4月,家具業,95.57
2016,4,民國105年4月,成衣及服飾品業,103.72
2016,4,民國105年4月,木竹製品業,109.79
2016,4,民國105年4月,機械設備業,88.76
2016,4,民國105年4月,橡膠製品業,66.92
2016,4,民國105年4月,民生工業,83.02
2016,4,民國105年4月,汽車及其零件業,70.07
2016,4,民國105年4月,產業用機械設備維修及安裝業,63.93
2016,4,民國105年4月,皮革、毛皮及其製品業,91.73
2016,4,民國105年4月,石油及煤製品業,111.25
2016,4,民國105年4月,紙漿、紙及紙製品業,129.52
2016,4,民國105年4月,紡織業,66.03
2016,4,民國105年4月,菸草業,90.43
2016,4,民國105年4月,藥品及醫用化學製品業,86.82
2016,4,民國105年4月,資訊電子工業,72.76
2016,4,民國105年4月,金屬機電工業,67.51
2016,4,民國105年4月,金屬製品業,91.86
2016,4,民國105年4月,電力設備及配備業,81.7
2016,4,民國105年4月,電子零組件業,54.12
2016,4,民國105年4月,電腦、電子產品及光學製品業,53.59
2016,4,民國105年4月,非金屬礦物製品業,70.48
2016,4,民國105年4月,食品及飼品業,82.33
2016,4,民國105年4月,飲料業,78.26
2016,5,民國105年5月,其他化學製品業,92.84
2016,5,民國105年5月,其他製造業,66.52
2016,5,民國105年5月,其他運輸工具及其零件業,103.55
2016,5,民國105年5月,化學工業,60.08
2016,5,民國105年5月,化學材料及肥料業,125.32
2016,5,民國105年5月,印刷及資料儲存媒體複製業,91.1
2016,5,民國105年5月,基本金屬業,86.58
2016,5,民國105年5月,塑膠製品業,95.64
2016,5,民國105年5月,家具業,104.29
2016,5,民國105年5月,成衣及服飾品業,103.38
2016,5,民國105年5月,木竹製品業,116.87
2016,5,民國105年5月,機械設備業,89.84
2016,5,民國105年5月,橡膠製品業,71.07
2016,5,民國105年5月,民生工業,86.95
2016,5,民國105年5月,汽車及其零件業,75.95
2016,5,民國105年5月,產業用機械設備維修及安裝業,68.62
2016,5,民國105年5月,皮革、毛皮及其製品業,97.47
2016,5,民國105年5月,石油及煤製品業,109.31
2016,5,民國105年5月,紙漿、紙及紙製品業,139.28
2016,5,民國105年5月,紡織業,75.95
2016,5,民國105年5月,菸草業,119.43
2016,5,民國105年5月,藥品及醫用化學製品業,93.09
2016,5,民國105年5月,資訊電子工業,69.01
2016,5,民國105年5月,金屬機電工業,72.0
2016,5,民國105年5月,金屬製品業,95.96
2016,5,民國105年5月,電力設備及配備業,86.68
2016,5,民國105年5月,電子零組件業,57.46
2016,5,民國105年5月,電腦、電子產品及光學製品業,57.13
2016,5,民國105年5月,非金屬礦物製品業,71.53
2016,5,民國105年5月,食品及飼品業,88.77
2016,5,民國105年5月,飲料業,81.51
2016,6,民國105年6月,其他化學製品業,92.76
2016,6,民國105年6月,其他製造業,69.66
2016,6,民國105年6月,其他運輸工具及其零件業,104.37
2016,6,民國105年6月,化學工業,62.52
2016,6,民國105年6月,化學材料及肥料業,119.31
2016,6,民國105年6月,印刷及資料儲存媒體複製業,89.2
2016,6,民國105年6月,基本金屬業,85.11
2016,6,民國105年6月,塑膠製品業,91.93
2016,6,民國105年6月,家具業,100.77
2016,6,民國105年6月,成衣及服飾品業,98.55
2016,6,民國105年6月,木竹製品業,119.05
2016,6,民國105年6月,機械設備業,89.29
2016,6,民國105年6月,橡膠製品業,71.05
2016,6,民國105年6月,民生工業,83.66
2016,6,民國105年6月,汽車及其零件業,75.28
2016,6,民國105年6月,產業用機械設備維修及安裝業,68.27
2016,6,民國105年6月,皮革、毛皮及其製品業,95.16
2016,6,民國105年6月,石油及煤製品業,108.12
2016,6,民國105年6月,紙漿、紙及紙製品業,136.62
2016,6,民國105年6月,紡織業,75.72
2016,6,民國105年6月,菸草業,120.67
2016,6,民國105年6月,藥品及醫用化學製品業,89.36
2016,6,民國105年6月,資訊電子工業,78.64
2016,6,民國105年6月,金屬機電工業,72.83
2016,6,民國105年6月,金屬製品業,91.57
2016,6,民國105年6月,電力設備及配備業,83.72
2016,6,民國105年6月,電子零組件業,60.14
2016,6,民國105年6月,電腦、電子產品及光學製品業,59.84
2016,6,民國105年6月,非金屬礦物製品業,69.24
2016,6,民國105年6月,食品及飼品業,87.02
2016,6,民國105年6月,飲料業,80.44
2016,7,民國105年7月,其他化學製品業,96.43
2016,7,民國105年7月,其他製造業,65.79
2016,7,民國105年7月,其他運輸工具及其零件業,96.33
2016,7,民國105年7月,化學工業,60.32
2016,7,民國105年7月,化學材料及肥料業,123.89
2016,7,民國105年7月,印刷及資料儲存媒體複製業,89.21
2016,7,民國105年7月,基本金屬業,82.83
2016,7,民國105年7月,塑膠製品業,92.86
2016,7,民國105年7月,家具業,101.02
2016,7,民國105年7月,成衣及服飾品業,97.15
2016,7,民國105年7月,木竹製品業,110.97
2016,7,民國105年7月,機械設備業,84.65
2016,7,民國105年7月,橡膠製品業,69.92
2016,7,民國105年7月,民生工業,85.51
2016,7,民國105年7月,汽車及其零件業,72.81
2016,7,民國105年7月,產業用機械設備維修及安裝業,68.52
2016,7,民國105年7月,皮革、毛皮及其製品業,97.13
2016,7,民國105年7月,石油及煤製品業,108.05
2016,7,民國105年7月,紙漿、紙及紙製品業,123.41
2016,7,民國105年7月,紡織業,72.96
2016,7,民國105年7月,菸草業,122.15
2016,7,民國105年7月,藥品及醫用化學製品業,83.84
2016,7,民國105年7月,資訊電子工業,80.88
2016,7,民國105年7月,金屬機電工業,72.55
2016,7,民國105年7月,金屬製品業,92.83
2016,7,民國105年7月,電力設備及配備業,80.57
2016,7,民國105年7月,電子零組件業,59.85
2016,7,民國105年7月,電腦、電子產品及光學製品業,59.77
2016,7,民國105年7月,非金屬礦物製品業,68.27
2016,7,民國105年7月,食品及飼品業,87.34
2016,7,民國105年7月,飲料業,84.87
2016,8,民國105年8月,其他化學製品業,90.56
2016,8,民國105年8月,其他製造業,71.51
2016,8,民國105年8月,其他運輸工具及其零件業,81.19
2016,8,民國105年8月,化學工業,62.43
2016,8,民國105年8月,化學材料及肥料業,122.11
2016,8,民國105年8月,印刷及資料儲存媒體複製業,93.22
2016,8,民國105年8月,基本金屬業,84.06
2016,8,民國105年8月,塑膠製品業,94.8
2016,8,民國105年8月,家具業,104.0
2016,8,民國105年8月,成衣及服飾品業,106.69
2016,8,民國105年8月,木竹製品業,127.51
2016,8,民國105年8月,機械設備業,86.46
2016,8,民國105年8月,橡膠製品業,78.1
2016,8,民國105年8月,民生工業,90.63
2016,8,民國105年8月,汽車及其零件業,75.14
2016,8,民國105年8月,產業用機械設備維修及安裝業,73.71
2016,8,民國105年8月,皮革、毛皮及其製品業,96.72
2016,8,民國105年8月,石油及煤製品業,113.49
2016,8,民國105年8月,紙漿、紙及紙製品業,119.6
2016,8,民國105年8月,紡織業,109.76
2016,8,民國105年8月,菸草業,132.71
2016,8,民國105年8月,藥品及醫用化學製品業,91.27
2016,8,民國105年8月,資訊電子工業,81.68
2016,8,民國105年8月,金屬機電工業,75.35
2016,8,民國105年8月,金屬製品業,94.23
2016,8,民國105年8月,電力設備及配備業,86.21
2016,8,民國105年8月,電子零組件業,62.96
2016,8,民國105年8月,電腦、電子產品及光學製品業,62.99
2016,8,民國105年8月,非金屬礦物製品業,77.62
2016,8,民國105年8月,食品及飼品業,96.02
2016,8,民國105年8月,飲料業,86.74
2016,9,民國105年9月,其他化學製品業,83.5
2016,9,民國105年9月,其他製造業,68.46
2016,9,民國105年9月,其他運輸工具及其零件業,77.58
2016,9,民國105年9月,化學工業,59.9
2016,9,民國105年9月,化學材料及肥料業,112.35
