西元年,月,民國年,發電方式,發電量
2017,1,民國106年1月,總計_毛發電,200754.0
2017,1,民國106年1月,抽蓄水力發電,2697.0
2017,1,民國106年1月,燃煤發電,97492.0
2017,1,民國106年1月,燃油發電,8611.0
2017,1,民國106年1月,燃氣發電,64721.0
2017,1,民國106年1月,核能發電,18895.0
2017,1,民國106年1月,再生能源合計,8338.0
2017,1,民國106年1月,慣常水力發電,1905.0
2017,1,民國106年1月,風力發電,2242.0
2017,1,民國106年1月,太陽光電,830.0
2017,1,民國106年1月,生質能發電,182.0
2017,1,民國106年1月,廢棄物能發電,3179.0
2017,2,民國106年2月,總計_毛發電,184817.0
2017,2,民國106年2月,抽蓄水力發電,2289.0
2017,2,民國106年2月,燃煤發電,94016.0
2017,2,民國106年2月,燃油發電,9017.0
2017,2,民國106年2月,燃氣發電,53369.0
2017,2,民國106年2月,核能發電,17600.0
2017,2,民國106年2月,再生能源合計,8526.0
2017,2,民國106年2月,慣常水力發電,2626.0
2017,2,民國106年2月,風力發電,2090.0
2017,2,民國106年2月,太陽光電,958.0
2017,2,民國106年2月,生質能發電,172.0
2017,2,民國106年2月,廢棄物能發電,2681.0
2017,3,民國106年3月,總計_毛發電,210929.0
2017,3,民國106年3月,抽蓄水力發電,2549.0
2017,3,民國106年3月,燃煤發電,107303.0
2017,3,民國106年3月,燃油發電,8498.0
2017,3,民國106年3月,燃氣發電,64189.0
2017,3,民國106年3月,核能發電,19467.0
2017,3,民國106年3月,再生能源合計,8924.0
2017,3,民國106年3月,慣常水力發電,3320.0
2017,3,民國106年3月,風力發電,1463.0
2017,3,民國106年3月,太陽光電,1129.0
2017,3,民國106年3月,生質能發電,157.0
2017,3,民國106年3月,廢棄物能發電,2855.0
2017,4,民國106年4月,總計_毛發電,207473.0
2017,4,民國106年4月,抽蓄水力發電,2728.0
2017,4,民國106年4月,燃煤發電,108855.0
2017,4,民國106年4月,燃油發電,12159.0
2017,4,民國106年4月,燃氣發電,62547.0
2017,4,民國106年4月,核能發電,13003.0
2017,4,民國106年4月,再生能源合計,8181.0
2017,4,民國106年4月,慣常水力發電,3294.0
2017,4,民國106年4月,風力發電,1010.0
2017,4,民國106年4月,太陽光電,1378.0
2017,4,民國106年4月,生質能發電,97.0
2017,4,民國106年4月,廢棄物能發電,2402.0
2017,5,民國106年5月,總計_毛發電,230358.0
2017,5,民國106年5月,抽蓄水力發電,2805.0
2017,5,民國106年5月,燃煤發電,112231.0
2017,5,民國106年5月,燃油發電,12224.0
2017,5,民國106年5月,燃氣發電,81558.0
2017,5,民國106年5月,核能發電,10833.0
2017,5,民國106年5月,再生能源合計,10707.0
2017,5,民國106年5月,慣常水力發電,5671.0
2017,5,民國106年5月,風力發電,654.0
2017,5,民國106年5月,太陽光電,1503.0
2017,5,民國106年5月,生質能發電,172.0
2017,5,民國106年5月,廢棄物能發電,2708.0
2017,6,民國106年6月,總計_毛發電,240003.0
2017,6,民國106年6月,抽蓄水力發電,2573.0
2017,6,民國106年6月,燃煤發電,114714.0
2017,6,民國106年6月,燃油發電,8979.0
2017,6,民國106年6月,燃氣發電,82805.0
2017,6,民國106年6月,核能發電,14993.0
2017,6,民國106年6月,再生能源合計,15940.0
2017,6,民國106年6月,慣常水力發電,10676.0
2017,6,民國106年6月,風力發電,763.0
2017,6,民國106年6月,太陽光電,1567.0
2017,6,民國106年6月,生質能發電,154.0
2017,6,民國106年6月,廢棄物能發電,2778.0
2017,7,民國106年7月,總計_毛發電,257060.0
2017,7,民國106年7月,抽蓄水力發電,2988.0
2017,7,民國106年7月,燃煤發電,117823.0
2017,7,民國106年7月,燃油發電,11883.0
2017,7,民國106年7月,燃氣發電,91088.0
2017,7,民國106年7月,核能發電,21051.0
2017,7,民國106年7月,再生能源合計,12225.0
2017,7,民國106年7月,慣常水力發電,7014.0
2017,7,民國106年7月,風力發電,355.0
2017,7,民國106年7月,太陽光電,1716.0
2017,7,民國106年7月,生質能發電,159.0
2017,7,民國106年7月,廢棄物能發電,2981.0
2017,8,民國106年8月,總計_毛發電,263589.0
2017,8,民國106年8月,抽蓄水力發電,3388.0
2017,8,民國106年8月,燃煤發電,115766.0
2017,8,民國106年8月,燃油發電,15520.0
2017,8,民國106年8月,燃氣發電,95550.0
2017,8,民國106年8月,核能發電,22058.0
2017,8,民國106年8月,再生能源合計,11308.0
2017,8,民國106年8月,慣常水力發電,5722.0
2017,8,民國106年8月,風力發電,697.0
2017,8,民國106年8月,太陽光電,1753.0
2017,8,民國106年8月,生質能發電,123.0
2017,8,民國106年8月,廢棄物能發電,3013.0
2017,9,民國106年9月,總計_毛發電,248267.0
2017,9,民國106年9月,抽蓄水力發電,3177.0
2017,9,民國106年9月,燃煤發電,111639.0
2017,9,民國106年9月,燃油發電,12459.0
2017,9,民國106年9月,燃氣發電,91349.0
2017,9,民國106年9月,核能發電,21206.0
2017,9,民國106年9月,再生能源合計,8437.0
2017,9,民國106年9月,慣常水力發電,3350.0
2017,9,民國106年9月,風力發電,443.0
2017,9,民國106年9月,太陽光電,1566.0
2017,9,民國106年9月,生質能發電,161.0
2017,9,民國106年9月,廢棄物能發電,2918.0
2017,10,民國106年10月,總計_毛發電,234802.0
2017,10,民國106年10月,抽蓄水力發電,2980.0
2017,10,民國106年10月,燃煤發電,108973.0
2017,10,民國106年10月,燃油發電,12237.0
2017,10,民國106年10月,燃氣發電,77606.0
2017,10,民國106年10月,核能發電,21996.0
2017,10,民國106年10月,再生能源合計,11010.0
2017,10,民國106年10月,慣常水力發電,4350.0
2017,10,民國106年10月,風力發電,2452.0
2017,10,民國106年10月,太陽光電,1593.0
2017,10,民國106年10月,生質能發電,167.0
2017,10,民國106年10月,廢棄物能發電,2448.0
2017,11,民國106年11月,總計_毛發電,213712.0
2017,11,民國106年11月,抽蓄水力發電,2719.0
2017,11,民國106年11月,燃煤發電,97521.0
2017,11,民國106年11月,燃油發電,7732.0
2017,11,民國106年11月,燃氣發電,74439.0
2017,11,民國106年11月,核能發電,21446.0
2017,11,民國106年11月,再生能源合計,9855.0
2017,11,民國106年11月,慣常水力發電,3486.0
2017,11,民國106年11月,風力發電,2317.0
2017,11,民國106年11月,太陽光電,1425.0
2017,11,民國106年11月,生質能發電,171.0
2017,11,民國106年11月,廢棄物能發電,2456.0
2017,12,民國106年12月,總計_毛發電,210800.0
2017,12,民國106年12月,抽蓄水力發電,2443.0
2017,12,民國106年12月,燃煤發電,93162.0
2017,12,民國106年12月,燃油發電,7847.0
2017,12,民國106年12月,燃氣發電,75197.0
2017,12,民國106年12月,核能發電,21908.0
