period,民國年月,area_code,area_name,總人口,男性,女性,幼年_0_14,工作年齡_15_64,老年_65plus,男_0_14,女_0_14,男_15_64,女_15_64,男_65plus,女_65plus
2016-01,10501,00000000,全國,23496068,11712764,11783304,3181128,17359423,2955517,1656996,1524132,8687039,8672384,1368729,1586788
2016-01,10501,09007000,連江縣,12533,7171,5362,1574,9725,1234,833,741,5690,4035,648,586
2016-01,10501,09020000,金門縣,132995,66687,66308,13875,104121,14999,7228,6647,52280,51841,7179,7820
2016-01,10501,10002000,宜蘭縣,458037,232193,225844,57979,334589,65469,30154,27825,171446,163143,30593,34876
2016-01,10501,10004000,新竹縣,542513,277668,264845,91743,388584,62186,47880,43863,199787,188797,30001,32185
2016-01,10501,10005000,苗栗縣,563489,290511,272978,79045,403654,80790,41516,37529,210503,193151,38492,42298
2016-01,10501,10007000,彰化縣,1289295,658567,630728,178489,934243,176563,93463,85026,483993,450250,81111,95452
2016-01,10501,10008000,南投縣,509162,261191,247971,60665,370720,77777,31515,29150,193273,177447,36403,41374
2016-01,10501,10009000,雲林縣,699236,363630,335606,87592,496071,115573,45913,41679,265353,230718,52364,63209
2016-01,10501,10010000,嘉義縣,519482,270465,249017,55444,373859,90179,29036,26408,200486,173373,40943,49236
2016-01,10501,10013000,屏東縣,840931,430749,410182,96874,621640,122417,50511,46363,322403,299237,57835,64582
2016-01,10501,10014000,臺東縣,222244,115058,107186,28158,161903,32183,14696,13462,85431,76472,14931,17252
2016-01,10501,10015000,花蓮縣,331845,169242,162603,42034,242932,46879,22023,20011,125308,117624,21911,24968
2016-01,10501,10016000,澎湖縣,102355,52795,49560,11688,75534,15133,6105,5583,39695,35839,6995,8138
2016-01,10501,10017000,基隆市,372019,186874,185145,41166,281475,49378,21509,19657,142742,138733,22623,26755
2016-01,10501,10018000,新竹市,434258,214871,219387,76638,311779,45841,40061,36577,154150,157629,20660,25181
2016-01,10501,10020000,嘉義市,270273,131820,138453,39404,196242,34627,20595,18809,95814,100428,15411,19216
2016-01,10501,63000000,臺北市,2704974,1295411,1409563,377159,1926458,401357,195733,181426,917806,1008652,181872,219485
2016-01,10501,64000000,高雄市,2778729,1380719,1398010,348469,2077382,352878,180858,167611,1035354,1042028,164507,188371
2016-01,10501,65000000,新北市,3971250,1951393,2019857,515814,3022819,432617,268681,247133,1482035,1540784,200677,231940
2016-01,10501,66000000,臺中市,2746112,1357629,1388483,410602,2051282,284228,213389,197213,1011997,1039285,132243,151985
2016-01,10501,67000000,臺南市,1885550,943812,941738,240070,1397360,248120,124870,115200,705233,692127,113709,134411
2016-01,10501,68000000,桃園市,2108786,1054308,1054478,326646,1577051,205089,170427,156219,786260,790791,97621,107468
2016-02,10502,00000000,全國,23496935,11711706,11785229,3176258,17350899,2969778,1654427,1521831,8682487,8668412,1374792,1594986
2016-02,10502,09007000,連江縣,12523,7169,5354,1570,9716,1237,837,733,5680,4036,652,585
2016-02,10502,09020000,金門縣,132960,66659,66301,13795,104049,15116,7176,6619,52246,51803,7237,7879
2016-02,10502,10002000,宜蘭縣,457995,232142,225853,57862,334465,65668,30073,27789,171401,163064,30668,35000
2016-02,10502,10004000,新竹縣,542821,277838,264983,91650,388764,62407,47862,43788,199855,188909,30121,32286
2016-02,10502,10005000,苗栗縣,563084,290289,272795,78807,403203,81074,41384,37423,210272,192931,38633,42441
2016-02,10502,10007000,彰化縣,1289209,658443,630766,178212,933794,177203,93326,84886,483696,450098,81421,95782
2016-02,10502,10008000,南投縣,508586,260858,247728,60399,370227,77960,31404,28995,193001,177226,36453,41507
2016-02,10502,10009000,雲林縣,698753,363341,335412,87270,495698,115785,45736,41534,265159,230539,52446,63339
2016-02,10502,10010000,嘉義縣,519045,270248,248797,55179,373511,90355,28879,26300,200306,173205,41063,49292
2016-02,10502,10013000,屏東縣,840408,430490,409918,96546,620895,122967,50370,46176,322000,298895,58120,64847
2016-02,10502,10014000,臺東縣,222118,115000,107118,28042,161771,32305,14642,13400,85364,76407,14994,17311
2016-02,10502,10015000,花蓮縣,331801,169166,162635,42008,242746,47047,21998,20010,125193,117553,21975,25072
2016-02,10502,10016000,澎湖縣,102336,52775,49561,11628,75554,15154,6078,5550,39696,35858,7001,8153
2016-02,10502,10017000,基隆市,371914,186802,185112,41112,281223,49579,21463,19649,142627,138596,22712,26867
2016-02,10502,10018000,新竹市,434279,214843,219436,76584,311706,45989,40006,36578,154110,157596,20727,25262
2016-02,10502,10020000,嘉義市,270297,131806,138491,39367,196129,34801,20572,18795,95759,100370,15475,19326
2016-02,10502,63000000,臺北市,2704410,1295039,1409371,376625,1924563,403222,195485,181140,916959,1007604,182595,220627
2016-02,10502,64000000,高雄市,2778574,1380388,1398186,347893,2075683,354998,180529,167364,1034476,1041207,165383,189615
2016-02,10502,65000000,新北市,3971660,1951290,2020370,514937,3021399,435324,268278,246659,1481288,1540111,201724,233600
2016-02,10502,66000000,臺中市,2747561,1358199,1389362,410343,2051365,285853,213236,197107,1012010,1039355,132953,152900
2016-02,10502,67000000,臺南市,1885453,943687,941766,239816,1396298,249339,124721,115095,704654,691644,114312,135027
