西元年,月,民國年,科學園區,博士,碩士,大學,專科,高中,其他,總人數
2016,4,民國105年4月,中部科學園區,214,6219,12543,6000,7314,775,33065
2016,4,民國105年4月,南部科學園區,813,15525,31292,10280,18777,1485,78172
2016,4,民國105年4月,新竹科學園區,3940,45087,50081,20137,29274,3127,151646
2016,4,民國105年4月,總　　計,4967,66831,93916,36417,55365,5387,262883
2016,5,民國105年5月,中部科學園區,213,6207,12421,5981,7240,866,32928
2016,5,民國105年5月,南部科學園區,804,15405,30941,10156,18527,1461,77294
2016,5,民國105年5月,新竹科學園區,3979,45158,50162,19924,29114,3133,151470
2016,5,民國105年5月,總　　計,4996,66770,93524,36061,54881,5460,261692
2016,6,民國105年6月,中部科學園區,225,6552,13760,6442,7991,952,35922
2016,6,民國105年6月,南部科學園區,806,15452,31053,10180,18577,1465,77533
2016,6,民國105年6月,新竹科學園區,3981,45208,49927,19834,29033,3151,151134
2016,6,民國105年6月,總　　計,5012,67212,94740,36456,55601,5568,264589
2016,7,民國105年7月,中部科學園區,249,7455,14256,6520,8182,929,37591
2016,7,民國105年7月,南部科學園區,822,15576,31339,10285,18769,1479,78270
2016,7,民國105年7月,新竹科學園區,3999,45372,49935,19790,28848,3236,151180
2016,7,民國105年7月,總　　計,5070,68403,95530,36595,55799,5644,267041
2016,8,民國105年8月,中部科學園區,249,7455,14259,6507,8160,1448,38078
2016,8,民國105年8月,南部科學園區,823,15620,31398,10296,18773,1506,78416
2016,8,民國105年8月,新竹科學園區,4009,45440,49953,19757,28822,3217,151198
2016,8,民國105年8月,總　　計,5081,68515,95610,36560,55755,6171,267692
2016,9,民國105年9月,中部科學園區,250,7538,14439,6578,8260,1449,38514
2016,9,民國105年9月,南部科學園區,825,15550,31070,10204,18679,1502,77830
2016,9,民國105年9月,新竹科學園區,3995,45433,49771,19529,28423,3211,150362
2016,9,民國105年9月,總　　計,5070,68521,95280,36311,55362,6162,266706
2016,10,民國105年10月,中部科學園區,266,7688,14638,6604,8353,1454,39003
2016,10,民國105年10月,南部科學園區,822,15527,30937,10147,18581,1504,77518
2016,10,民國105年10月,新竹科學園區,4012,45609,49845,19480,28290,3238,150474
2016,10,民國105年10月,總　　計,5100,68824,95420,36231,55224,6196,266995
2016,11,民國105年11月,中部科學園區,279,7793,15118,6658,8321,1470,39639
2016,11,民國105年11月,南部科學園區,825,15759,31316,10005,18437,1518,77860
2016,11,民國105年11月,新竹科學園區,4012,45655,49979,19572,28098,3275,150591
2016,11,民國105年11月,總　　計,5116,69207,96413,36235,54856,6263,268090
2016,12,民國105年12月,中部科學園區,286,7858,15284,6645,8449,1434,39956
2016,12,民國105年12月,南部科學園區,824,15906,31694,10063,18408,1537,78432
2016,12,民國105年12月,新竹科學園區,3975,45418,50015,19877,28158,3210,150653
2016,12,民國105年12月,總　　計,5085,69182,96993,36585,55015,6181,269041
2017,1,民國106年1月,中部科學園區,297,8017,15534,6805,8485,1435,40573
2017,1,民國106年1月,南部科學園區,828,15897,31630,9991,18256,1515,78117
2017,1,民國106年1月,新竹科學園區,4054,46262,49915,19881,28238,3024,151374
2017,1,民國106年1月,總　　計,5179,70176,97079,36677,54979,5974,270064
2017,2,民國106年2月,中部科學園區,297,8018,15530,6797,8458,1433,40533
2017,2,民國106年2月,南部科學園區,830,15893,31351,9944,18034,1513,77565
2017,2,民國106年2月,新竹科學園區,4249,48068,49085,19354,27555,3093,151404
2017,2,民國106年2月,總　　計,5376,71979,95966,36095,54047,6039,269502
2017,3,民國106年3月,中部科學園區,295,8072,15677,6811,8537,1494,40886
2017,3,民國106年3月,南部科學園區,835,15822,31296,9894,17940,1507,77294
2017,3,民國106年3月,新竹科學園區,4218,47019,50102,19288,27732,3132,151491
2017,3,民國106年3月,總　　計,5348,70913,97075,35993,54209,6133,269671
2017,4,民國106年4月,中部科學園區,298,8309,16000,6869,8563,1240,41279
2017,4,民國106年4月,南部科學園區,833,15638,31391,9659,18289,1548,77358
2017,4,民國106年4月,新竹科學園區,4390,47744,50099,19082,27256,2967,151538
2017,4,民國106年4月,總　　計,5521,71691,97490,35610,54108,5755,270175
2017,5,民國106年5月,中部科學園區,298,8307,16057,6877,8573,1240,41352
2017,5,民國106年5月,南部科學園區,838,15599,31556,9680,18422,1597,77692
2017,5,民國106年5月,新竹科學園區,4413,47695,50061,19029,27327,3119,151644
2017,5,民國106年5月,總　　計,5549,71601,97674,35586,54322,5956,270688
2017,6,民國106年6月,中部科學園區,298,8384,16065,6872,8575,1246,41440
2017,6,民國106年6月,南部科學園區,846,15564,31795,9707,18521,1635,78068
2017,6,民國106年6月,新竹科學園區,4387,47633,50070,18924,27614,3166,151794
2017,6,民國106年6月,總　　計,5531,71581,97930,35503,54710,6047,271302
2017,7,民國106年7月,中部科學園區,299,8385,16090,6891,8631,1248,41544
2017,7,民國106年7月,南部科學園區,858,15596,32076,9759,18652,1636,78577
2017,7,民國106年7月,新竹科學園區,4445,47843,50249,18984,27564,3132,152217
2017,7,民國106年7月,總　　計,5602,71824,98415,35634,54847,6016,272338
