西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2016,4,民國105年4月,中部科學園區,光電,38,33
2016,4,民國105年4月,中部科學園區,其他,15,12
2016,4,民國105年4月,中部科學園區,生物技術,36,27
2016,4,民國105年4月,中部科學園區,積體電路,7,5
2016,4,民國105年4月,中部科學園區,精密機械,68,44
2016,4,民國105年4月,中部科學園區,總計,180,133
2016,4,民國105年4月,中部科學園區,通訊,1,1
2016,4,民國105年4月,中部科學園區,電腦及周邊,15,11
2016,4,民國105年4月,南部科學園區,光電,59,54
2016,4,民國105年4月,南部科學園區,其他,7,5
2016,4,民國105年4月,南部科學園區,生物技術,62,58
2016,4,民國105年4月,南部科學園區,積體電路,17,13
2016,4,民國105年4月,南部科學園區,精密機械,49,45
2016,4,民國105年4月,南部科學園區,總計,206,186
2016,4,民國105年4月,南部科學園區,通訊,10,9
2016,4,民國105年4月,南部科學園區,電腦及周邊,2,2
2016,4,民國105年4月,彙總資料,光電,191,173
2016,4,民國105年4月,彙總資料,其他,31,22
2016,4,民國105年4月,彙總資料,生物技術,183,156
2016,4,民國105年4月,彙總資料,積體電路,213,202
2016,4,民國105年4月,彙總資料,精密機械,159,127
2016,4,民國105年4月,彙總資料,總計,907,799
2016,4,民國105年4月,彙總資料,通訊,56,54
2016,4,民國105年4月,彙總資料,電腦及周邊,74,65
2016,4,民國105年4月,新竹科學園區,光電,94,86
2016,4,民國105年4月,新竹科學園區,其他,9,5
2016,4,民國105年4月,新竹科學園區,生物技術,85,71
2016,4,民國105年4月,新竹科學園區,積體電路,189,184
2016,4,民國105年4月,新竹科學園區,精密機械,42,38
2016,4,民國105年4月,新竹科學園區,總計,521,480
2016,4,民國105年4月,新竹科學園區,通訊,45,44
2016,4,民國105年4月,新竹科學園區,電腦及周邊,57,52
2016,5,民國105年5月,中部科學園區,光電,39,33
2016,5,民國105年5月,中部科學園區,其他,15,12
2016,5,民國105年5月,中部科學園區,生物技術,36,27
2016,5,民國105年5月,中部科學園區,積體電路,8,5
2016,5,民國105年5月,中部科學園區,精密機械,68,44
2016,5,民國105年5月,中部科學園區,總計,182,133
2016,5,民國105年5月,中部科學園區,通訊,1,1
2016,5,民國105年5月,中部科學園區,電腦及周邊,15,11
2016,5,民國105年5月,南部科學園區,光電,59,53
2016,5,民國105年5月,南部科學園區,其他,7,5
2016,5,民國105年5月,南部科學園區,生物技術,63,59
2016,5,民國105年5月,南部科學園區,積體電路,17,13
2016,5,民國105年5月,南部科學園區,精密機械,50,45
2016,5,民國105年5月,南部科學園區,總計,208,186
2016,5,民國105年5月,南部科學園區,通訊,10,9
2016,5,民國105年5月,南部科學園區,電腦及周邊,2,2
2016,5,民國105年5月,彙總資料,光電,193,172
2016,5,民國105年5月,彙總資料,其他,31,22
2016,5,民國105年5月,彙總資料,生物技術,184,157
2016,5,民國105年5月,彙總資料,積體電路,213,202
2016,5,民國105年5月,彙總資料,精密機械,160,127
2016,5,民國105年5月,彙總資料,總計,911,798
2016,5,民國105年5月,彙總資料,通訊,56,54
