西元年,月,民國年月,園區別,子園區,負載_萬KW
2016,1,10501,中部科學園區,中興園區,0.03
2016,1,10501,中部科學園區,二林園區,0.04
2016,1,10501,中部科學園區,台中園區,59.77
2016,1,10501,中部科學園區,后里園區,15.38
2016,1,10501,中部科學園區,虎尾園區,1.58
2016,1,10501,南部科學園區,臺南園區,114.88
2016,1,10501,南部科學園區,高雄園區,11.8
2016,1,10501,新竹科學園區,宜蘭園區,0.01
2016,1,10501,新竹科學園區,新竹園區,120.76
2016,1,10501,新竹科學園區,新竹生醫園區,0.24
2016,1,10501,新竹科學園區,竹南園區,19.1
2016,1,10501,新竹科學園區,銅鑼園區,0.97
2016,1,10501,新竹科學園區,龍潭園區,11.51
2016,2,10502,中部科學園區,中興園區,0.02
2016,2,10502,中部科學園區,二林園區,0.03
2016,2,10502,中部科學園區,台中園區,60.47
2016,2,10502,中部科學園區,后里園區,14.66
2016,2,10502,中部科學園區,虎尾園區,1.47
2016,2,10502,南部科學園區,臺南園區,120.69
2016,2,10502,南部科學園區,高雄園區,11.84
2016,2,10502,新竹科學園區,宜蘭園區,0.01
2016,2,10502,新竹科學園區,新竹園區,119.69
2016,2,10502,新竹科學園區,新竹生醫園區,0.23
2016,2,10502,新竹科學園區,竹南園區,19.15
2016,2,10502,新竹科學園區,銅鑼園區,0.98
2016,2,10502,新竹科學園區,龍潭園區,11.91
2016,3,10503,中部科學園區,中興園區,0.03
2016,3,10503,中部科學園區,二林園區,0.01
2016,3,10503,中部科學園區,台中園區,61.36
2016,3,10503,中部科學園區,后里園區,15.48
2016,3,10503,中部科學園區,虎尾園區,1.61
2016,3,10503,南部科學園區,臺南園區,121.36
2016,3,10503,南部科學園區,高雄園區,12.22
2016,3,10503,新竹科學園區,宜蘭園區,0.01
2016,3,10503,新竹科學園區,新竹園區,124.23
2016,3,10503,新竹科學園區,新竹生醫園區,0.25
2016,3,10503,新竹科學園區,竹南園區,19.1
2016,3,10503,新竹科學園區,銅鑼園區,1.03
2016,3,10503,新竹科學園區,龍潭園區,12.27
2016,4,10504,中部科學園區,中興園區,0.04
2016,4,10504,中部科學園區,二林園區,0.06
2016,4,10504,中部科學園區,台中園區,63.72
2016,4,10504,中部科學園區,后里園區,16.34
2016,4,10504,中部科學園區,虎尾園區,1.67
2016,4,10504,南部科學園區,臺南園區,122.19
2016,4,10504,南部科學園區,高雄園區,12.24
2016,4,10504,新竹科學園區,宜蘭園區,0.01
2016,4,10504,新竹科學園區,新竹園區,129.14
2016,4,10504,新竹科學園區,新竹生醫園區,0.28
2016,4,10504,新竹科學園區,竹南園區,19.9
2016,4,10504,新竹科學園區,銅鑼園區,1.11
2016,4,10504,新竹科學園區,龍潭園區,13.14
2016,5,10505,中部科學園區,中興園區,0.05
2016,5,10505,中部科學園區,二林園區,0.06
2016,5,10505,中部科學園區,台中園區,65.42
2016,5,10505,中部科學園區,后里園區,16.7
2016,5,10505,中部科學園區,虎尾園區,1.72
2016,5,10505,南部科學園區,臺南園區,123.25
2016,5,10505,南部科學園區,高雄園區,12.81
2016,5,10505,新竹科學園區,宜蘭園區,0.01
2016,5,10505,新竹科學園區,新竹園區,130.64
2016,5,10505,新竹科學園區,新竹生醫園區,0.33
2016,5,10505,新竹科學園區,竹南園區,20.52
2016,5,10505,新竹科學園區,銅鑼園區,1.34
2016,5,10505,新竹科學園區,龍潭園區,14.04
2016,6,10506,中部科學園區,中興園區,0.06
2016,6,10506,中部科學園區,二林園區,0.06
2016,6,10506,中部科學園區,台中園區,66.25
2016,6,10506,中部科學園區,后里園區,16.81
2016,6,10506,中部科學園區,虎尾園區,1.78
2016,6,10506,南部科學園區,臺南園區,123.86
2016,6,10506,南部科學園區,高雄園區,13.47
2016,6,10506,新竹科學園區,宜蘭園區,0.01
2016,6,10506,新竹科學園區,新竹園區,140.6
2016,6,10506,新竹科學園區,新竹生醫園區,0.34
2016,6,10506,新竹科學園區,竹南園區,21.12
2016,6,10506,新竹科學園區,銅鑼園區,1.41
2016,6,10506,新竹科學園區,龍潭園區,14.64
2016,7,10507,中部科學園區,中興園區,0.05
2016,7,10507,中部科學園區,二林園區,0.07
2016,7,10507,中部科學園區,台中園區,66.53
2016,7,10507,中部科學園區,后里園區,16.86
2016,7,10507,中部科學園區,虎尾園區,1.78
2016,7,10507,南部科學園區,臺南園區,124.1
2016,7,10507,南部科學園區,高雄園區,13.55
2016,7,10507,新竹科學園區,宜蘭園區,0.01
2016,7,10507,新竹科學園區,新竹園區,137.17
2016,7,10507,新竹科學園區,新竹生醫園區,0.34
2016,7,10507,新竹科學園區,竹南園區,20.69
2016,7,10507,新竹科學園區,銅鑼園區,1.49
2016,7,10507,新竹科學園區,龍潭園區,15.09
2016,8,10508,中部科學園區,中興園區,0.06
2016,8,10508,中部科學園區,二林園區,0.07
2016,8,10508,中部科學園區,台中園區,66.67
2016,8,10508,中部科學園區,后里園區,16.99
2016,8,10508,中部科學園區,虎尾園區,1.79
2016,8,10508,南部科學園區,臺南園區,124.47
2016,8,10508,南部科學園區,高雄園區,13.89
2016,8,10508,新竹科學園區,宜蘭園區,0.01
2016,8,10508,新竹科學園區,新竹園區,137.16
2016,8,10508,新竹科學園區,新竹生醫園區,0.41
2016,8,10508,新竹科學園區,竹南園區,20.75
2016,8,10508,新竹科學園區,銅鑼園區,1.46
