西元年,月,民國年,科學園區,產業,營業額
2016,4,民國105年4月,中部科學園區,光電,137.54
2016,4,民國105年4月,中部科學園區,其他,1.17
2016,4,民國105年4月,中部科學園區,生物技術,2.46
2016,4,民國105年4月,中部科學園區,積體電路,271.38
2016,4,民國105年4月,中部科學園區,精密機械,19.49
2016,4,民國105年4月,中部科學園區,總計,435.03
2016,4,民國105年4月,中部科學園區,通訊,0.05
2016,4,民國105年4月,中部科學園區,電腦及周邊,2.94
2016,4,民國105年4月,南部科學園區,光電,186.19
2016,4,民國105年4月,南部科學園區,其他,2.06
2016,4,民國105年4月,南部科學園區,生物技術,7.72
2016,4,民國105年4月,南部科學園區,積體電路,297.3
2016,4,民國105年4月,南部科學園區,精密機械,26.36
2016,4,民國105年4月,南部科學園區,總計,526.62
2016,4,民國105年4月,南部科學園區,通訊,5.78
2016,4,民國105年4月,南部科學園區,電腦及周邊,1.22
2016,4,民國105年4月,新竹科學園區,光電,136.45
2016,4,民國105年4月,新竹科學園區,其他,4.99
2016,4,民國105年4月,新竹科學園區,生物技術,7.39
2016,4,民國105年4月,新竹科學園區,積體電路,633.6
2016,4,民國105年4月,新竹科學園區,精密機械,23.43
2016,4,民國105年4月,新竹科學園區,總計,858.78
2016,4,民國105年4月,新竹科學園區,通訊,23.17
2016,4,民國105年4月,新竹科學園區,電腦及周邊,29.75
2016,4,民國105年4月,總　　計,光電,460.19
2016,4,民國105年4月,總　　計,其他,8.22
2016,4,民國105年4月,總　　計,生物技術,17.57
2016,4,民國105年4月,總　　計,積體電路,1202.27
2016,4,民國105年4月,總　　計,精密機械,69.27
2016,4,民國105年4月,總　　計,總計,1820.43
2016,4,民國105年4月,總　　計,通訊,28.99
2016,4,民國105年4月,總　　計,電腦及周邊,33.92
2016,5,民國105年5月,中部科學園區,光電,155.12
2016,5,民國105年5月,中部科學園區,其他,1.11
2016,5,民國105年5月,中部科學園區,生物技術,2.61
2016,5,民國105年5月,中部科學園區,積體電路,228.66
2016,5,民國105年5月,中部科學園區,精密機械,18.33
