YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
201601,安定,0.0935,Tainan,17.3,113.8
201601,寶山,2.8507,Hsinchu,15.6,62.8
201601,新市,4.9799,Tainan,17.3,113.8
201601,新竹市,5.7127,Hsinchu,15.6,62.8
201601,西屯區,3.0236,Taichung,16.8,106.2
201602,安定,0.0702,Tainan,17.4,145.3
201602,寶山,2.6701,Hsinchu,14.5,77.9
201602,新市,4.1692,Tainan,17.4,145.3
201602,新竹市,5.2635,Hsinchu,14.5,77.9
201602,西屯區,2.7848,Taichung,16.4,100.6
201603,安定,0.0998,Tainan,19.7,134.1
201603,寶山,2.9025,Hsinchu,16.7,96.6
201603,新市,5.0273,Tainan,19.7,134.1
201603,新竹市,5.8587,Hsinchu,16.7,96.6
201603,西屯區,3.1525,Taichung,18.3,109.8
201604,安定,0.0963,Tainan,26.3,196.1
201604,寶山,2.9463,Hsinchu,23.4,89.7
201604,新市,5.137,Tainan,26.3,196.1
201604,新竹市,5.8711,Hsinchu,23.4,89.7
201604,西屯區,3.1907,Taichung,24.9,131.4
201605,安定,0.1042,Tainan,28.4,234.6
201605,寶山,3.1684,Hsinchu,26.7,157.3
201605,新市,5.3936,Tainan,28.4,234.6
201605,新竹市,6.3674,Hsinchu,26.7,157.3
201605,西屯區,3.4223,Taichung,27.6,159.8
201606,安定,0.099,Tainan,29.4,231.6
201606,寶山,3.15,Hsinchu,29.3,231.8
201606,新市,5.2977,Tainan,29.4,231.6
201606,新竹市,6.3247,Hsinchu,29.3,231.8
201606,西屯區,3.6054,Taichung,28.8,181.9
201607,安定,0.1033,Tainan,29.9,246.1
201607,寶山,3.2757,Hsinchu,30.3,297.8
201607,新市,5.5416,Tainan,29.9,246.1
201607,新竹市,6.4916,Hsinchu,30.3,297.8
201607,西屯區,3.6155,Taichung,29.4,222.1
201608,安定,0.1059,Tainan,29.3,187.5
201608,寶山,3.3125,Hsinchu,29.4,210.8
201608,新市,5.5507,Tainan,29.3,187.5
201608,新竹市,6.297,Hsinchu,29.4,210.8
201608,西屯區,3.8455,Taichung,28.9,152.4
201609,安定,0.0843,Tainan,28,152.8
201609,寶山,3.2244,Hsinchu,27.9,143.1
201609,新市,5.2655,Tainan,28,152.8
201609,新竹市,6.4319,Hsinchu,27.9,143.1
201609,西屯區,3.6858,Taichung,27.9,139.6
201610,安定,0.0931,Tainan,27.8,178
201610,寶山,3.3278,Hsinchu,26.8,181.3
201610,新市,5.432,Tainan,27.8,178
201610,新竹市,6.4081,Hsinchu,26.8,181.3
201610,西屯區,3.9009,Taichung,27.5,169.3
201611,安定,0.0973,Tainan,24.3,167.5
201611,寶山,3.0753,Hsinchu,22.3,143.1
201611,新市,5.1574,Tainan,24.3,167.5
201611,新竹市,5.9302,Hsinchu,22.3,143.1
201611,西屯區,3.7263,Taichung,23.4,148.2
201612,安定,0.099,Tainan,20.9,184.5
201612,寶山,3.0866,Hsinchu,19.5,150.1
201612,新市,5.2364,Tainan,20.9,184.5
201612,新竹市,5.8957,Hsinchu,19.5,150.1
201612,西屯區,3.8517,Taichung,20.4,186.9
201701,安定,0.0819,Tainan,19.4,208.3
201701,寶山,2.975,Hsinchu,17.7,107.9
201701,新市,4.9382,Tainan,19.4,208.3
201701,新竹市,5.6979,Hsinchu,17.7,107.9
201701,西屯區,3.8208,Taichung,18.9,196.9
201702,安定,0.0831,Tainan,18.6,174.3
201702,寶山,2.6802,Hsinchu,16.3,110.6
201702,新市,4.5206,Tainan,18.6,174.3
201702,新竹市,5.1664,Hsinchu,16.3,110.6
201702,西屯區,3.5285,Taichung,18,135.4
201703,安定,0.0978,Tainan,21.5,194.7
201703,寶山,2.9896,Hsinchu,17.7,90.9
201703,新市,5.099,Tainan,21.5,194.7
201703,新竹市,5.8373,Hsinchu,17.7,90.9
201703,西屯區,4.0108,Taichung,20.2,146.8
201704,安定,0.1261,Tainan,24.6,194.7
201704,寶山,2.9737,Hsinchu,22.2,148.4
201704,新市,4.9968,Tainan,24.6,194.7
201704,新竹市,5.8106,Hsinchu,22.2,148.4
201704,西屯區,4.0157,Taichung,23.2,149.6
201705,安定,0.0562,Tainan,27.7,199.5
201705,寶山,3.1692,Hsinchu,25.7,132.7
201705,新市,5.4085,Tainan,27.7,199.5
201705,新竹市,6.237,Hsinchu,25.7,132.7
201705,西屯區,4.3386,Taichung,26.7,133.1
201706,安定,0.0999,Tainan,29.3,199.2
201706,寶山,3.1878,Hsinchu,28,172.9
201706,新市,5.3197,Tainan,29.3,199.2
201706,新竹市,6.2452,Hsinchu,28,172.9
201706,西屯區,4.413,Taichung,27.9,144.4
201707,安定,0.102,Tainan,29.6,203.9
201707,寶山,3.2892,Hsinchu,29.5,252.8
201707,新市,5.4497,Tainan,29.6,203.9
201707,新竹市,6.5358,Hsinchu,29.5,252.8
201707,西屯區,4.9617,Taichung,28.7,189.9
201708,安定,0.102,Tainan,29.9,212.5
201708,寶山,3.2892,Hsinchu,30.3,271.5
201708,新市,5.4497,Tainan,29.9,212.5
201708,新竹市,6.5358,Hsinchu,30.3,271.5
201708,西屯區,4.9617,Taichung,29.4,188
201709,安定,0.1005,Tainan,30,234.5
201709,寶山,3.2081,Hsinchu,29,201.3
201709,新市,5.3027,Tainan,30,234.5
201709,新竹市,6.4163,Hsinchu,29,201.3
201709,西屯區,4.9066,Taichung,29.3,195.3
201710,安定,0.0875,Tainan,27.1,229.2
201710,寶山,3.1582,Hsinchu,25.8,192.7
201710,新市,5.3461,Tainan,27.1,229.2
201710,新竹市,5.8421,Hsinchu,25.8,192.7
201710,西屯區,4.9239,Taichung,26.5,202.1
201711,安定,0.0837,Tainan,23.8,165.3
201711,寶山,2.9661,Hsinchu,22,83.3
201711,新市,5.029,Tainan,23.8,165.3
201711,新竹市,6.376,Hsinchu,22,83.3
201711,西屯區,4.6556,Taichung,23.3,143.8
201712,安定,0.0828,Tainan,19.1,164.8
201712,寶山,2.907,Hsinchu,17.5,114.3
201712,新市,5.0657,Tainan,19.1,164.8
201712,新竹市,5.8344,Hsinchu,17.5,114.3
201712,西屯區,4.6779,Taichung,18.5,156.7
201801,安定,0.0845,Tainan,18.1,136.8
201801,寶山,2.8868,Hsinchu,16.3,116.6
201801,新市,5.0519,Tainan,18.1,136.8
201801,新竹市,5.7926,Hsinchu,16.3,116.6
201801,西屯區,4.7107,Taichung,17.3,127.4
201802,安定,0.0605,Tainan,17.5,125.4
201802,寶山,2.5817,Hsinchu,14.6,73
