日期(年/月),系統運轉淨尖峰能力(KW)最大值,系統運轉淨尖峰能力(KW)最小值,系統瞬時尖峰負載(KW)最大值,系統瞬時尖峰負載(KW)最小值,備轉容量(KW)最大值,備轉容量(KW)最小值,備轉容量率(%)最大值,備轉容量率(%)最小值
114/01,41515111,29743998,30262500,23336210,14372711,2576020,52.95,8.56
114/02,41172242,30540923,30098000,24897900,11456942,3057523,38.56,11.09
114/03,43678250,30218933,33361100,26989100,13138959,2908873,44.61,9.09
114/04,43398060,30111777,35902900,26671600,10517828,2888209,35.57,10.04
114/05,47020280,31939060,39169900,27859300,16208945,2045560,57.06,6.84
114/06,47177888,35777154,40393800,31025800,10496952,2847116,31.2,8.51
114/07,48001700,36780160,40916800,30568800,12151750,4011960,36.72,10.13
114/08,48258298,36140479,40270800,31489800,11853607,2693779,33.75,8.05
114/09,46903177,34871470,40729700,32670300,9471411,2173624,28.16,6.08
114/10,46420832,31651720,39224300,28617600,9397789,2953086,28.76,9
114/11,41472729,30906335,34651700,27738700,10899570,2719834,35.84,9.47
114/12,41820820,30475374,31688500,26933000,10400450,2955674,35.61,10.74
