日期,備轉容量(萬瓩),備轉容量率(%)
20230101,389.9,15.21
20230102,451.7,17.08
20230103,560.1,18.99
20230104,530.3,17.91
20230105,380.4,12.64
20230106,429,14.59
20230107,476.5,17.16
20230108,341.3,12.92
20230109,374.5,12.69
20230110,347.2,11.63
20230111,370.6,12.57
20230112,242.2,8.11
20230113,419.8,14.07
20230114,403.2,14.73
20230115,506.3,19.5
20230116,479.1,16.71
20230117,457.9,15.97
20230118,570.6,20.34
20230119,684,26.7
20230120,593.6,24.99
20230121,491.4,22.09
20230122,531.9,24.65
20230123,666.6,31.06
20230124,464.3,20.44
20230125,377.1,16.08
20230126,531.8,22.21
20230127,481.5,19.53
20230128,407.5,15.98
20230129,421.1,16.28
20230130,556.6,19.77
20230131,435,15.26
20230201,388.7,13.53
20230202,478,16.5
20230203,480.7,16.72
20230204,501.5,18.06
20230205,475.8,18.24
20230206,224.3,7.61
20230207,447.6,15.14
20230208,507.9,17.25
20230209,306.3,10.2
20230210,650.6,21.66
20230211,408.2,15.26
20230212,380.4,14.5
20230213,339.8,11.05
20230214,445.6,15.26
20230215,358.8,12.22
20230216,349,11.87
20230217,449.7,15.36
20230218,361.6,12.92
20230219,516.4,19.7
20230220,371.5,12.72
20230221,281.8,9.5
20230222,370.7,12.59
20230223,333.2,11.27
20230224,552.7,19.12
20230225,484.9,18.28
20230226,431.8,16.84
20230227,608,24.14
20230228,440.6,16.76
20230301,531.5,18.33
20230302,436.7,15.03
20230303,597.1,20.7
20230304,445.2,16.88
20230305,461.9,17.93
20230306,440,15.08
20230307,473.7,16.1
20230308,411,13.97
20230309,629.4,21.23
20230310,587.6,19.8
20230311,437.2,16.38
20230312,636.2,24.49
20230313,532.6,18.26
20230314,542.5,18.28
20230315,586.3,19.58
20230316,467.9,15.4
20230317,459.3,15.14
20230318,510.5,19.18
20230319,403.1,15.29
20230320,433.7,14.15
20230321,500.5,16.03
20230322,402.4,12.45
20230323,676.6,21.05
20230324,398.6,12.54
20230325,827.8,28.29
20230326,515,19.71
20230327,464.2,15.59
20230328,507.7,16.86
20230329,378.2,12.38
20230330,484.9,15.97
20230331,556.1,18.71
20230401,453.4,16.83
20230402,554.4,21.59
20230403,466.5,18.16
20230404,445.2,16.86
20230405,371.6,13.84
20230406,249.8,8.11
20230407,735.2,24.73
20230408,624.8,23.51
20230409,488.7,18.72
20230410,445,14.9
20230411,339.4,10.95
20230412,562.9,17.81
20230413,582.1,18.07
20230414,513.6,15.86
20230415,397,14.12
20230416,363,13.07
20230417,368.5,11.23
20230418,331.5,9.86
20230419,341.6,10.06
20230420,242.1,7.41
20230421,544.8,16.98
20230422,562.5,20.27
20230423,479.8,17.52
20230424,803.6,25.45
20230425,637.5,20.47
20230426,862.5,28.4
20230427,659.2,21.31
20230428,825.9,25.82
20230429,392.8,13.82
20230430,615.8,23.49
20230501,749.5,27.82
20230502,793.3,24.38
20230503,637.1,18.85
20230504,656.4,19.1
20230505,637,17.9
20230506,955.6,30.92
20230507,526.3,18.7
20230508,883,28.35
20230509,728.9,24
20230510,822,26.25
20230511,621.4,19.59
20230512,609.3,19.01
20230513,852.4,31.03
20230514,468.4,17.37
20230515,690.5,22.11
20230516,570.2,17.47
20230517,560.8,16.53
20230518,451.9,12.87
20230519,470.5,13.94
20230520,450.1,15.25
20230521,376.3,12.76
20230522,462.8,13.09
20230523,915.8,28.64
20230524,692.6,21.1
20230525,630.2,18.76
20230526,574.6,16.68
20230527,832.1,27.98
20230528,368.9,12.45
20230529,512.4,14.3
20230530,465.7,12.8
20230531,468.4,13.17
20230601,685,19.82
20230602,540.1,14.92
20230603,595,18.59
20230604,302.2,9.84
20230605,600.9,16.56
20230606,637.4,17.31
20230607,554.2,14.92
20230608,519.2,13.95
20230609,551,15.08
20230610,716,22.42
20230611,404,13.34
20230612,573,16.6
20230613,577.7,16.34
20230614,492.4,13.71
20230615,606.3,17.65
20230616,535.5,15.18
20230617,465.4,13.58
20230618,369.5,11.73
20230619,673.2,18.27
20230620,598.8,15.77
20230621,597.6,15.68
20230622,436.6,13.5
20230623,931,29.46
20230624,921.6,29.07
20230625,342.8,10.68
20230626,525.9,13.81
20230627,527.2,13.87
20230628,449.4,11.98
20230629,551.7,14.39
20230630,613.6,16.28
20230701,908.6,27.63
20230702,461.3,14.45
20230703,697.2,18.3
20230704,726.6,18.8
20230705,670.7,17.06
20230706,646.1,16.43
20230707,698.2,17.79
20230708,878.5,25.23
20230709,401.1,11.87
20230710,542.4,13.81
20230711,407.5,10.29
20230712,526,13.61
20230713,467.8,11.98
20230714,449.6,11.47
20230715,780.5,22.44
20230716,329.9,10.04
20230717,457.1,11.7
20230718,319.5,8.25
20230719,396.7,10.2
20230720,465.2,12
20230721,662.5,17.25
20230722,968.8,28.77
20230723,886.7,27.94
20230724,674.6,17.88
20230725,663.5,17.19
20230726,438.6,11.88
20230727,539.6,15.89
20230728,629.8,19.56
20230729,960.2,30.65
20230730,448.9,14.63
20230731,728.5,20.12
20230801,718.8,19.6
20230802,565.3,15.42
20230803,816.2,23.79
20230804,516.1,13.97
20230805,493.5,15.55
20230806,340.5,10.42
20230807,405.1,10.46
20230808,441.9,11.64
20230809,602.4,15.87
20230810,388.6,10.19
20230811,655.7,17.77
20230812,985.9,30.28
20230813,507.6,16.03
20230814,623.9,16.83
20230815,557.6,14.72
20230816,627.2,17.33
20230817,514.5,13.91
20230818,554.1,15.31
20230819,849.5,26.9
20230820,455.3,14.65
20230821,782.9,20.92
20230822,642.5,16.68
20230823,683,17.88
20230824,518.5,13.54
20230825,672.7,17.65
20230826,770.4,22.6
20230827,491.1,15.33
20230828,687.8,18.1
20230829,575.7,14.68
20230830,484.3,12.48
20230831,515.9,13.64
20230901,496.5,12.94
20230902,755.3,22.94
20230903,652.8,21.96
20230904,1021,32.35
20230905,562.9,15.29
20230906,706.4,19.19
20230907,759.7,21.31
20230908,682.8,19.52
20230909,936.9,30.79
20230910,750.2,25.1
20230911,1024.1,29.18
20230912,778.1,21.4
20230913,686.8,18.82
20230914,556.5,15.2
20230915,542.6,14.67
20230916,695.6,21.52
20230917,341,10.8
20230918,529.1,14.24
20230919,513.4,13.68
20230920,529.4,14.02
20230921,567.9,15.16
20230922,525.7,13.71
20230923,572.5,15.58
20230924,355.4,10.98
20230925,593.8,15.59
20230926,650.7,17.39
20230927,612.5,16.1
20230928,477.8,12.57
20230929,877.2,27.61
20230930,699.3,22.65
20231001,593.8,19.47
20231002,775.2,21.85
20231003,919.5,26.66
20231004,566.6,16.52
20231005,741.9,24.53
20231006,504.5,14.57
20231007,813.3,26.95
20231008,566.5,20.11
20231009,760.6,27.6
20231010,648.8,22.53
20231011,802.8,24.54
20231012,1010.4,30.76
20231013,940.3,28.22
20231014,922.6,31.71
20231015,600.3,21.64
20231016,671.3,20.95
20231017,677.3,20.98
20231018,458.3,13.57
20231019,527,15.4
20231020,673.6,19.94
20231021,578.6,20.76
20231022,513.2,18.71
20231023,629.7,19.06
20231024,558.9,16.4
20231025,521.7,15.1
20231026,576.7,16.82
20231027,694.1,21.42
20231028,593.3,21.39
20231029,678,25.31
20231030,950.5,29.71
20231031,916.7,28.43
20231101,708.4,21.55
20231102,665.9,20.07
20231103,660.1,19.88
20231104,421.4,14.49
20231105,314.6,11.09
20231106,446,13.17
20231107,749.3,23.19
20231108,632.7,18.88
20231109,558.7,16.55
20231110,617.3,18.14
20231111,597.6,21.04
20231112,563.8,21.06
20231113,709,23.88
20231114,780.3,25.89
20231115,742.9,24.28
20231116,758,24.32
20231117,1047.7,36.23
20231118,665.4,25.29
20231119,559.1,21.76
20231120,481,16.44
20231121,531.5,17.68
20231122,728.2,23.95
20231123,809.6,26.63
20231124,999.7,33.88
20231125,558.2,20.73
20231126,465.8,17.68
20231127,396.1,13.28
20231128,753.3,25.09
20231129,604,19.94
20231130,762,25.22
20231201,765.6,26.24
20231202,493.4,18.45
20231203,477.2,18.13
20231204,510.2,17.01
20231205,566.8,18.89
20231206,554.1,18.44
20231207,542.7,18.39
20231208,471.4,15.68
20231209,284.2,10.37
20231210,332.3,12.24
20231211,459.8,14.72
20231212,721.5,23.46
20231213,559.3,18.23
20231214,379.9,12.11
20231215,456.1,14.48
20231216,498.6,18.76
20231217,492.3,18.86
20231218,392.2,13.42
20231219,696.7,23.43
20231220,734.7,25
20231221,467.2,15.96
