日期,淨尖峰供電能力(萬瓩),尖峰負載(萬瓩),備轉容量(萬瓩),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1(萬瓩),核三#2(萬瓩),林口#1(萬瓩),林口#2(萬瓩),林口#3(萬瓩),台中#1(萬瓩),台中#2(萬瓩),台中#3(萬瓩),台中#4(萬瓩),台中#5(萬瓩),台中#6(萬瓩),台中#7(萬瓩),台中#8(萬瓩),台中#9(萬瓩),台中#10(萬瓩),興達#1(萬瓩),興達#2(萬瓩),興達#3(萬瓩),興達#4(萬瓩),大林#1(萬瓩),大林#2(萬瓩),和平#1(萬瓩),和平#2(萬瓩),麥寮#1(萬瓩),麥寮#2(萬瓩),麥寮#3(萬瓩),汽電共生(萬瓩),大潭 (#1-#6)(萬瓩),通霄 (#1-#6)(萬瓩),興達 (#1-#5)(萬瓩),南部 (#1-#4)(萬瓩),大林(#5-#6)(萬瓩),海湖 (#1-#2)(萬瓩),國光 #1(萬瓩),新桃#1(萬瓩),星彰#1(萬瓩),星元#1(萬瓩),嘉惠#1(萬瓩),豐德(#1-#2)(萬瓩),協和 (#1-#4)(萬瓩),氣渦輪(萬瓩),離島(萬瓩),德基(萬瓩),青山(萬瓩),谷關(萬瓩),天輪(萬瓩),馬鞍(萬瓩),萬大(萬瓩),大觀(萬瓩),鉅工(萬瓩),大觀二(萬瓩),明潭(萬瓩),碧海(萬瓩),立霧(萬瓩),龍澗(萬瓩),卓蘭(萬瓩),水里(萬瓩),其他小水力(萬瓩),風力發電(萬瓩),太陽能發電(萬瓩)
20250101,3106.4,2799.4,307,10.97,327.26,227.276,0,0,0,0,0,94.6,75.8,76.4,0,51.6,0,52.1,51.5,52.9,46.5,52.9,53.3,0,0,0,0,0,0,76,0,54.3,41.6,31,0,57.2,68.8,496.2,279.3,157.1,74.1,54.5,45.9,47.9,63.1,53.1,0,50.3,195.3,13.8,0,8.7,3.2,4.6,1.3,2.6,1.8,1.9,5.1,1.8,21.9,71.5,0,0,0.5,1.7,0,12.1,136.4,0
20250102,3412.1,2961.7,450.4,15.21,350.158,243.179,0,0,0,0,0,94.6,75.8,76.3,0,38.5,0,44.1,32.6,33.1,48.5,28.6,28.6,0,0,0,0,0,0,76,0,60,61.2,28,0,57.1,116.7,497.8,270.5,156.5,85.9,22.4,67.6,46.8,63.1,47.3,0,119.2,194.2,13.8,0,8.4,4.9,4.1,1.4,2.6,1.7,1.9,5.1,1.8,30.8,47.6,0,0,1,8,0,20.5,285.3,0
20250103,3751.5,2964.9,786.6,26.53,352.462,244.779,0,0,0,0,0,94.6,75.9,76.2,0,32.6,0,33.3,32.7,23.9,33.4,24.4,25.3,0,0,0,0,0,0,76,0,60,61.3,28,0,57.2,96.2,474.7,279.1,146.4,39.4,22.4,67.2,0,62.9,50.5,0,110,146.2,13.9,0,7.8,0,2,1.1,1.9,1.3,0.2,5.5,2,0.1,6.3,0,0,0,0,0,8.8,290.2,384.4
20250104,3110.4,2748.2,362.2,13.18,330.88,229.791,0,0,0,0,0,94.6,75.8,76.3,0,45.4,0,45.7,45.2,49.8,48.8,47.8,48.6,0,0,0,0,0,0,76,0,60,61.2,29.7,0,57.1,55.1,384.4,270.4,154,72.8,22.4,43.2,47,0,46.5,0,117.8,191,13.8,0,8.1,6.5,10,7.6,7.5,5.9,1.9,5.5,2,32.3,67.5,0,0,0.5,8,0,20.1,222.7,0
20250105,3125.9,2716,409.9,15.09,317.831,220.728,0,0,0,0,0,94.5,75.6,76.2,0,51.7,0,50,51.1,52.7,48.6,53.1,53.3,0,0,0,0,0,0,76,0,54.4,57.3,33.6,0,57.1,67.5,410.6,271.7,165.8,73.8,54.5,42.5,43,0,44.5,0,48.5,190.3,27.6,0,8.8,0,1.9,1.1,2.1,1.6,1.9,5.4,2,29.6,59.7,0,0,0.5,8,0,12.2,212.2,0
20250106,3452.8,2912.9,539.9,18.54,343.578,238.61,0,0,0,0,0,94.6,75.8,76.4,0,28.9,0,30.5,30.2,23,23.7,23.6,24.4,0,0,0,0,0,0,76,0,59.9,60.7,28,0,57.1,113.7,516.1,273.1,171.3,71,22.4,64.8,41.7,63.1,45.6,0,119.2,182.4,14,0,8.3,3.2,3,1.2,1.8,1.2,1.9,5.2,1.9,50.5,56.8,0,0,0.5,4,0,19.9,285.5,0
20250107,3418.1,2974.8,443.3,14.9,353.441,245.459,0,0,0,0,0,94.6,75.8,76.4,0,30.4,0,31.1,30.9,31.3,31.9,33.1,33.7,0,0,0,0,0,0,75.7,0,59.9,60.8,28,0,57.1,113.3,519.3,271,165.6,73.8,22.4,69.5,48.3,63.1,52.7,0,118,195,13.9,0,8.3,6.4,12,1.2,1.8,1.2,1.9,3.8,1.2,44,57.2,0,0,0.5,1.7,0,19.5,267.9,0
20250108,3430.1,2985.1,445,14.91,356.575,247.636,0,0,0,0,0,94.5,75.7,76.3,0,34.5,0,36.3,36,16,33.7,33,33.5,0,0,0,0,0,0,76,0,60,60.6,28,0,57.2,110.9,438.4,270.5,171.7,71,22.3,89.2,48,63.1,52.8,55.2,119.2,196.2,13.9,0,9.3,4.1,5.9,0.1,1.3,0.7,1.9,3.7,1.2,57,77.7,0,0,0.5,4,0,19.8,260.1,0
20250109,3511.9,2993.1,518.8,17.33,358.573,249.023,0,0,0,0,0,94.6,75.8,76.3,0,33.6,0,34.4,34,0,34.9,33.6,34.2,0,0,0,0,0,0,75.9,0,59.9,60.9,28,0,57.2,106.5,482.8,274,160.1,89.7,22.4,86.8,42.8,63.1,44.4,45.3,112.1,189,13.9,0,8.9,3.2,2,1.4,2.1,1.3,3.9,3.9,1.3,26.7,50,2,0,0.5,4,0,20.8,291,0
20250110,3998.8,2957.9,1040.9,35.19,357.366,248.184,0,0,0,0,0,94.6,75.8,76.2,0,30.6,0,31.4,30.8,0,31.4,31.2,31.7,0,0,0,0,0,0,75.6,0,60,60.7,28,0,57.3,113.2,397.3,286.2,173,82.6,22.6,80.6,42.8,63,44.3,56.9,118.9,194.7,14,0,9.3,6.5,11.1,1.8,2.4,1.6,3.9,4,1.3,29.5,58.1,2.1,0,0,8.1,0,21.5,289.7,0
