,"工業生產指數"
,,,,,,,,,"單位：基期=110年"
"統計期","總指數","總指數(不含土石採取業)","礦業及土石採取業","製造業","金屬機電工業","資訊電子工業","化學工業","民生工業","電力及燃氣供應業","用水供應業",
"105年","73.14","73.12","91.08","71.88","81.86","59.78","93.94","87.43","90.86","99.14",
"105年1月","68.60","68.56","97.74","67.45","80.48","53.02","93.61","86.11","83.76","100.07",
"105年2月","58.05","58.04","74.32","56.78","63.65","45.99","83.18","65.12","75.47","93.20",
"105年3月","73.57","73.55","94.79","72.55","88.24","57.67","98.62","88.26","87.53","98.21",
"105年4月","68.85","68.81","94.67","67.51","80.55","54.12","91.73","82.33","87.50","96.25",
"105年5月","73.50","73.46","98.14","72.00","86.58","57.46","97.47","88.77","95.00","99.26",
"105年6月","74.44","74.42","90.82","72.83","85.11","60.14","95.16","87.02","98.12","96.85",
"105年7月","74.49","74.47","90.56","72.55","82.83","59.85","97.13","87.34","103.47","100.45",
"105年8月","77.01","77.00","91.72","75.35","84.06","62.96","96.72","96.02","101.44","102.97",
"105年9月","75.99","76.00","77.54","74.89","75.13","68.64","88.49","84.66","92.06","99.12",
"105年10月","76.36","76.36","87.00","74.96","81.59","64.93","92.74","90.03","96.87","102.71",
"105年11月","78.43","78.42","92.90","77.92","85.62","67.45","94.73","94.85","84.55","98.16",
"105年12月","78.38","78.34","102.72","77.82","88.52","65.09","97.70","98.63","84.57","102.43",
"106年","76.79","76.77","89.07","75.67","86.02","64.19","94.75","90.41","92.78","100.43",
"106年1月","72.47","72.43","93.85","71.69","78.24","60.77","92.80","87.96","82.06","101.03",
"106年2月","67.43","67.42","75.72","66.79","73.17","57.27","84.62","79.82","75.86","90.09",
"106年3月","79.70","79.68","95.67","79.15","92.49","65.44","98.61","101.53","86.37","100.39",
"106年4月","69.67","69.65","85.03","68.55","82.47","54.98","88.12","89.95","85.20","96.84",
"106年5月","75.90","75.86","101.42","74.50","86.48","60.46","96.22","98.84","95.48","104.05",
"106年6月","78.71","78.71","84.29","77.18","89.62","64.68","98.92","90.12","101.64","99.53",
"106年7月","76.39","76.38","89.44","74.39","86.58","62.01","98.54","83.57","106.32","103.70",
"106年8月","81.46","81.46","90.91","79.68","90.32","67.23","101.82","94.92","108.43","104.21",
"106年9月","80.04","80.02","91.33","78.62","87.17","68.68","94.06","92.27","101.06","99.95",
"106年10月","78.36","78.36","81.66","77.12","83.64","68.73","92.61","84.80","96.62","102.83",
"106年11月","79.89","79.88","87.01","79.30","90.86","68.98","93.97","90.44","87.79","98.07",
"106年12月","81.46","81.44","92.49","81.02","91.18","71.07","96.71","90.71","86.50","104.41",
"107年","79.38","79.37","85.74","78.35","89.16","67.07","96.80","91.84","94.08","100.60",
"107年1月","79.31","79.30","87.95","78.57","93.06","64.31","102.52","93.78","88.86","103.01",
"107年2月","63.76","63.76","62.76","62.78","67.49","54.23","83.58","69.12","77.56","91.93",
"107年3月","83.86","83.86","84.02","83.41","96.91","71.43","101.04","96.43","89.13","102.79",
"107年4月","75.35","75.34","80.91","74.44","85.69","63.68","92.14","84.98","87.89","99.60",
"107年5月","81.98","81.96","96.48","80.62","96.28","66.88","100.05","97.37","101.88","105.17",
"107年6月","78.81","78.80","84.75","77.42","91.50","64.91","95.37","92.42","99.65","101.01",
"107年7月","80.02","80.01","86.70","78.56","92.47","65.28","99.60","93.68","101.80","103.07",
