日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾業(數值),電力消費_工業部門_紙漿紙及紙製品業(數值),電力消費_工業部門_化學材料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_金屬基本工業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電腦通信及視聽電子產品製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_運輸服務業(數值),電力消費_服務業部門_倉儲業(數值),電力消費_服務業部門_通信業(數值),電力消費_服務業部門_金融保險及不動產業(數值),電力消費_服務業部門_工商服務業(數值),電力消費_服務業部門_社會服務及個人服務(數值),電力消費_服務業部門_公共行政業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
200701,百萬度,18219.446759,1776.780613,9983.191473,564.323179,318.779966,2396.829703,375.288409,485.246002,1335.969344,495.836315,2514.635891,1496.282664,67.210898,0,0,63.54657,3.664328,0,0,198.250521,3171.663233,475.943344,176.522808,85.47568,55.914071,115.89662,84.755629,76.729259,610.102159,436.523458,1053.800205,3022.350021
200702,百萬度,15518.273462,1418.541379,8143.713615,428.088043,251.499627,2067.348352,284.560885,353.278271,1127.797252,376.327518,2103.481658,1151.332009,57.790486,0,0,54.417038,3.373448,0,0,184.428411,2883.633254,418.751158,156.4564,66.32155,50.477414,102.762437,69.353064,65.05577,465.281652,362.800549,1126.37326,2830.166317
200703,百萬度,17774.745285,1683.705591,9584.258397,551.97987,306.854081,2343.244288,372.989553,439.524608,1292.839923,479.600095,2376.883338,1420.342641,62.474809,0,0,58.843846,3.630963,0,0,202.130031,3295.282261,468.417631,183.11661,82.366531,52.790726,111.831808,81.708501,74.173337,600.554062,397.798139,1242.524916,2946.894196
200704,百萬度,17693.307452,1619.956397,9381.997714,556.404188,293.542156,2226.791043,371.574136,423.021329,1272.754806,486.103655,2375.542485,1376.263916,49.360354,0,0,45.831599,3.528755,0,0,209.197956,3346.316288,486.250913,192.47934,97.582875,54.586599,112.802448,85.542536,77.6636,632.788199,405.64814,1200.971638,3086.478743
200705,百萬度,19917.686388,1836.014564,10764.006822,660.140481,331.185879,2540.921844,407.383483,456.446268,1414.859275,538.735662,2799.341034,1614.992896,74.732124,0,0,71.128662,3.603462,0,0,212.233237,3926.608726,539.764612,216.925608,103.582229,63.49821,138.899727,99.76864,88.796688,804.348396,441.144032,1429.880584,3104.090915
200706,百萬度,19826.787805,1734.662084,9954.416475,575.369865,297.205227,2429.583202,383.791444,434.391037,1232.238711,507.134077,2597.663446,1497.039466,75.059346,0,0,71.463154,3.596192,0,0,239.404263,4142.800138,572.62375,252.246145,95.249065,61.550512,126.125494,105.641074,91.489959,824.866981,442.205003,1570.802155,3680.445499
200707,百萬度,21541.59869,1892.220558,10757.085098,608.054142,314.341744,2666.423185,403.11807,456.16028,1249.973833,539.035185,2848.968988,1671.009671,77.702748,0,0,74.081549,3.621199,0,0,237.114497,4376.79119,593.010761,244.480095,109.384798,67.334948,134.079223,114.364409,98.330122,795.331397,480.213278,1740.262159,4200.684599
200708,百萬度,22444.217649,1923.763503,10974.738201,662.565171,326.26577,2721.053118,428.06935,457.395059,1256.836438,562.061814,2939.511783,1620.979698,82.499545,0,0,78.916706,3.582839,0,0,261.058299,4468.036421,633.810329,272.947182,118.655436,70.470468,144.001904,119.229276,105.057025,808.598062,480.936548,1714.330191,4734.12168
200709,百萬度,21489.495388,1716.971973,10034.527826,559.439263,288.751879,2460.720971,388.182155,425.07362,1190.606153,513.503743,2697.147716,1511.102326,76.884051,0,0,73.456772,3.427279,0,0,239.867961,4498.912688,587.132908,251.249532,101.195215,63.03465,121.538402,106.240559,94.187616,761.596778,451.463433,1961.273595,4922.330889
200710,百萬度,21010.656039,1780.947952,10732.896412,613.608686,324.701428,2562.74584,402.032556,454.265768,1396.765887,540.263055,2865.555154,1572.958038,84.55686,0,0,80.980119,3.576741,0,0,216.445517,4119.041195,551.154708,233.189433,97.862855,62.686643,127.802345,102.233308,91.142731,796.868994,453.131314,1602.968864,4076.768103
200711,百萬度,19674.790005,1654.048404,10237.897702,566.71161,309.669232,2534.21332,405.531506,427.769011,1299.052884,521.645637,2698.009584,1475.294918,84.042919,0,0,80.610713,3.432206,0,0,218.147004,3920.041028,513.167963,210.689968,95.878561,56.207148,118.410243,94.586642,89.348538,684.273242,448.934418,1608.544305,3560.612948
