日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾品製造業(數值),電力消費_工業部門_紙漿紙及紙製品製造業(數值),電力消費_工業部門_化學材料及肥料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_基本金屬製造業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電子產品及電力設備製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_運輸及倉儲業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_出版影音及資通訊業(數值),電力消費_服務業部門_金融及保險業(數值),電力消費_服務業部門_不動產業(數值),電力消費_服務業部門_專業科學及技術服務業(數值),電力消費_服務業部門_支援服務業(數值),電力消費_服務業部門_公共行政及國防(數值),電力消費_服務業部門_教育業(數值),電力消費_服務業部門_醫療保險及社會工作服務業(數值),電力消費_服務業部門_藝術娛樂及休閒服務業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
201801,百萬度,20695.282408,1475.474207,12189.2319252,514.825018,303.909307,2694.312665,449.108645,487.54477,1615.958643,571.83332988,4097.9061481,1453.83339922,119.149654,0,3.26769,112.812675,3.069289,0,0,211.82353436,3404.89612386,906.78660868,179.173631,484.323253,257.29866737,135.553341,108.009645,100.14602329,54.167353,327.90672132,224.85284149,227.018346,82.735006,316.92468671,3294.70696358
201802,百萬度,18072.95280898,1299.205327,10414.27712737,407.642092,231.14985,2404.035073,358.132757,396.853488,1338.788606,440.37801378,3677.47234938,1159.82489821,111.369225,0,3.40921,104.906656,3.053359,0,0,194.89088341,2864.71326244,774.24972553,173.901132,424.737605,225.53023155,109.213866,91.981719,82.84053421,48.184731,278.89003684,161.27288046,194.35004,72.6037,226.95706085,3188.49698376
201803,百萬度,21128.319046,1508.255638,12296.61282231,529.188015,308.082515,2699.413639,454.066925,466.805942,1669.028955,569.09194812,4133.69576848,1467.23911471,124.614302,0,3.605376,117.85635,3.152576,0,0,220.44436302,3496.82762126,897.53514833,203.274108,488.09737,267.4897167,132.967015,109.971844,100.21308324,55.559629,306.51470062,256.46714268,240.261851,86.567226,351.90878669,3481.56429941
201804,百萬度,20920.022362,1520.227229,12078.34577206,506.242306,291.959244,2671.474525,425.190566,472.266599,1597.191577,552.06436462,4148.01687658,1413.93971386,125.91595,0,3.700089,119.137453,3.078408,0,0,230.20617824,3536.99969905,912.0419903,213.13231,510.21029,262.73999033,135.074952,111.458063,101.20352845,56.73277,306.9606011,268.54044984,249.76682174,92.216788,316.92114429,3428.32753365
201805,百萬度,22777.482997,1717.093492,13121.11545342,546.929992,308.296146,2844.863483,478.107328,503.921985,1701.429264,606.89285285,4498.93543508,1631.73896749,131.200176,0,3.791067,124.259865,3.149244,0,0,249.66473738,4133.52451424,1057.52664973,251.428713,597.730434,293.80760926,166.320545,131.434768,122.02721823,64.193822,332.51798065,375.77305781,302.37109601,108.163489,330.22913155,3424.88462396
201806,百萬度,22868.18128105,1677.72982804,12620.89955587,528.474489,307.930287,2654.389775,466.885119,476.186377,1627.284421,601.14603041,4351.30205224,1607.30100522,128.227802,0,3.924927,121.224637,3.078238,0,0,277.12121463,4280.54067703,1099.97139281,259.88228,650.794401,288.51762765,172.102232,136.13862,126.25612331,64.441234,333.35803596,356.24005858,307.70796731,116.172525,368.95817941,3883.66220348
201807,百萬度,24636.526007,1811.981909,13117.85573959,551.367711,319.194768,2672.333057,480.712262,496.106595,1671.098987,608.21854318,4605.92812558,1712.89569083,132.746301,0,4.069409,125.506807,3.170085,0,0,275.05562353,4571.66670797,1223.04715456,280.115544,721.933969,312.2720265,193.906856,151.78062,141.40838411,72.603582,348.0005097,294.60906648,327.95852883,128.426393,375.60407379,4727.21972591
201808,百萬度,24914.48959898,1756.87158,13237.60075162,556.747734,316.40535,2777.750321,487.919946,488.952273,1680.616057,631.51259541,4584.11894302,1713.57753219,132.572428,0,4.179597,125.164457,3.228374,0,0,286.86783766,4547.50298668,1203.93063039,283.621108,727.925796,307.19926975,190.422815,150.440587,140.3911328,72.566886,365.45848384,289.75840415,330.16570929,130.293918,355.32824646,4953.07401502
201809,百萬度,24444.13324,1653.337555,12687.50110007,528.506651,304.691791,2727.279696,447.922114,475.399159,1605.666772,589.88323285,4382.82751676,1625.32416746,127.52473,0,4.343845,120.033538,3.147347,0,0,272.65097955,4570.5281452,1223.45828401,272.674319,733.448525,307.93503968,185.538487,148.7947573,140.38426072,71.269235,346.67671703,339.4245762,309.78910236,125.610263,365.5245789,5132.59073018
201810,百萬度,23385.08049201,1628.670454,12735.88500977,523.653107,317.419007,2725.695835,452.761936,504.216033,1679.798376,599.28771529,4336.8022637,1596.25073678,127.367736,0,4.620665,119.587921,3.15915,0,0,259.86929283,4156.95626475,1097.55650623,251.834323,654.137403,287.28068605,164.98266,131.79368723,124.32375998,64.861833,329.32695953,311.75961197,281.16820654,113.77286,344.15776822,4476.33173466
